#{"t_start": 1525356790.6065857, "env_id": "RockSample"}
r,l,t
-88.889408,997,222.648459
-129.388342,1000,224.735553
-66.947797,1000,227.015281
-142.862743,624,227.644669
-101.692238,1000,229.227602
-56.005734,1000,232.291095
-106.163407,1000,233.988726
-58.08215,1000,236.558641
-150.099113,560,237.50088
-102.808457,287,237.723861
-86.335618,1000,239.666585
-10.909829,1000,241.947215
22.81362,1000,243.611122
-18.947184,1000,245.617864
-5.360463,1000,247.775838
26.525828,1000,249.638162
-73.576034,1000,251.120255
-20.552662,1000,253.503665
-107.358639,1000,255.284206
-21.253891,769,256.611722
-55.279682,1000,258.628896
-4.159998,809,259.852942
-28.73443,1000,261.988168
-139.415139,412,262.3984
-116.233396,284,262.622957
22.463125,1000,265.029569
-40.597476,1000,266.77608
-263.621358,985,268.796079
-135.310027,1000,270.642237
-77.441207,1000,272.909618
-141.998165,1000,274.494473
-50.400982,1000,276.572232
-94.009811,1000,278.499268
-141.487325,1000,281.410086
-24.943785,1000,284.591903
-63.911174,1000,287.276271
-117.373976,1000,289.145534
-29.630682,1000,291.472904
-171.091637,597,292.141403
-15.004996,1000,293.623764
-116.568288,1000,295.757902
-123.098241,1000,297.504045
-66.223224,1000,299.744997
-130.66013,1000,301.233862
-118.732445,1000,303.350691
-93.516432,1000,305.772112
-129.505285,1000,307.821764
-70.665789,1000,310.452634
-66.17762,1000,312.386569
-107.129404,1000,313.99464
-92.523089,1000,316.522918
-122.139329,1000,318.606936
1.509664,790,320.254648
-70.681806,1000,322.238357
18.535848,862,324.401042
-4.341014,1000,326.310673
5.912036,730,327.248369
-95.940462,1000,329.203082
-59.797727,1000,330.887754
-15.178437,769,332.848377
-45.711168,1000,334.434084
-104.601497,277,334.666631
-28.980649,1000,338.123901
-8.390388,785,339.389214
11.088184,1000,341.435269
8.979888,1000,343.915374
-27.691709,1000,345.769451
-101.013572,1000,348.232569
-4.825009,1000,350.738786
-57.184041,1000,352.789035
