nupdates,Name,clipfrac,serial_timesteps,total_timesteps,EpLenMean,trial,value_loss,loss_ent,explained_variance,fps,policy_loss,approxkl,EpRewMean,time_elapsed,Iteration
33,PP02-awake,0.099804685,67584,67584,568.97,0,0.0006663162,2.3637776,0.8197156190872192,501,-0.009701792,0.008630033,-81.49715058,122.37453055381775,33
34,PP02-awake,0.08525391,69632,69632,585.99,0,0.00027058081,2.3330646,0.9415683150291443,574,-0.005740462,0.006850542,-80.12297062,125.93998503684998,34
35,PP02-awake,0.08154297,71680,71680,597.55,0,0.0028109737,2.3347697,0.5125064253807068,512,-0.0069058924,0.006701269,-77.21103311,129.93501353263855,35
36,PP02-awake,0.078222655,73728,73728,614.01,0,0.00051637547,2.329831,0.7627003937959671,412,-0.0038736805,0.006378391,-75.85139174000001,134.89962887763977,36
37,PP02-awake,0.07915039,75776,75776,630.85,0,0.00026656996,2.2975674,0.9304872378706932,396,-0.006753554,0.006884466,-73.46891015000001,140.06865310668945,37
38,PP02-awake,0.05571289,77824,77824,647.11,0,0.00028277904,2.2755864,0.7423967123031616,481,-0.002034471,0.0049415883,-72.20462704000002,144.31948804855347,38
39,PP02-awake,0.07543945,79872,79872,663.27,0,0.00039992837,2.2638817,0.9137958660721779,501,-0.008643562,0.006836972,-71.03437002000001,148.39968037605286,39
40,PP02-awake,0.10019531,81920,81920,679.75,0,0.0002495139,2.2544732,0.869643822312355,378,-0.010874643,0.0077511594,-70.39214804000001,153.80381894111633,40
41,PP02-awake,0.054296874,83968,83968,705.11,0,0.00034465492,2.245651,0.9171198010444641,408,-0.001397142,0.004851691,-70.46320458,158.81833624839783,41
42,PP02-awake,0.12861328,86016,86016,719.5,0,0.0029811596,2.2512515,0.6304718255996704,554,-0.00462494,0.010444467,-70.58579602,162.51122617721558,42
43,PP02-awake,0.083740234,88064,88064,736.2,0,0.00037941308,2.2493227,0.8414156436920166,362,-0.007000164,0.0068229465,-69.53676729,168.1623899936676,43
44,PP02-awake,0.097314455,90112,90112,750.56,0,0.002603598,2.2394137,0.45108646154403687,420,-0.007703015,0.008848766,-69.83938346000001,173.02836847305298,44
45,PP02-awake,0.08310547,92160,92160,767.43,0,0.0005271227,2.2185686,0.8231736421585083,423,-0.005109731,0.0069331923,-68.07876107,177.86556363105774,45
46,PP02-awake,0.113623045,94208,94208,783.7,0,0.00046563754,2.1825593,0.872767984867096,476,-0.0076076137,0.009656138,-67.19246146,182.16542434692383,46
47,PP02-awake,0.08046875,96256,96256,805.37,0,0.00056506513,2.1592457,0.8398306369781494,469,-0.005116976,0.0068354122,-64.43847633,186.52578353881836,47
48,PP02-awake,0.07402344,98304,98304,821.95,0,0.0004353552,2.1544876,0.9076041355729103,565,-0.0026297166,0.0061465185,-62.699753439999995,190.14656400680542,48
49,PP02-awake,0.07626953,100352,100352,837.18,0,0.0006171932,2.1572394,0.7860403656959534,530,-0.005083963,0.0063965665,-61.40316392,194.00563049316406,49
50,PP02-awake,0.1050293,102400,102400,852.63,0,0.00023113136,2.1380148,0.9445659928023815,528,-0.0077599795,0.008100264,-59.35419793999999,197.87939262390137,50
51,PP02-awake,0.092236325,104448,104448,868.39,0,0.0002922635,2.125751,0.8963469564914703,521,-0.004656145,0.0068749124,-55.902241649999986,201.80319094657898,51
52,PP02-awake,0.082617186,106496,106496,882.86,0,0.00024146322,2.130999,0.9218200892210007,548,-0.0031727657,0.0066705868,-54.66986934,205.53839683532715,52
53,PP02-awake,0.050488282,108544,108544,890.86,0,0.0002333279,2.1372144,0.8049924075603485,421,-0.0036278218,0.004778677,-55.393816740000005,210.40006828308105,53
54,PP02-awake,0.089697264,110592,110592,907.1,0,0.00030156787,2.125218,0.9380054213106632,539,-0.0046729594,0.0071123294,-54.200571800000006,214.19542360305786,54
55,PP02-awake,0.0715332,112640,112640,921.31,0,0.00021485018,2.1223257,0.9092901274561882,460,-0.004782644,0.0058500874,-53.3954974,218.64518642425537,55
56,PP02-awake,0.06225586,114688,114688,933.3,0,0.0004156265,2.1277843,0.8565386086702347,407,-0.0010975341,0.0054019596,-51.20717952,223.67688465118408,56
57,PP02-awake,0.1319336,116736,116736,942.97,0,0.004297248,2.13827,0.5805954933166504,515,-0.0037809983,0.010001814,-50.60540255,227.64757370948792,57
58,PP02-awake,0.06586914,118784,118784,957.22,0,0.0002905634,2.126823,0.8845042213797569,437,-0.0024877177,0.005885709,-50.419704239999994,232.3329393863678,58
59,PP02-awake,0.074316405,120832,120832,963.54,0,0.00022423023,2.117629,0.953913576900959,474,-0.004373058,0.0063974857,-49.37117633,236.64935684204102,59
60,PP02-awake,0.10610352,122880,122880,952.01,0,0.0070767896,2.1443384,0.5499095618724823,594,-0.0017298355,0.008538971,-51.79549615,240.09324741363525,60
