EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.4224244,46000,200.0,-1074.3025954389955,24.46473002433777,0.014693043,0.014693043,230,2.014636993408203e-05,45,0,0.0055328635,0.0
5,1.4666417,47000,200.0,-1052.0134944971549,25.029848098754883,0.009559498,0.009559498,235,1.8358230590820312e-05,46,0,0.0050190073,0.0
5,1.4735634,48000,200.0,-1046.3737441597418,25.536577939987183,0.016775357,0.016775357,240,1.9371509552001953e-05,47,0,0.00715255,0.0
5,1.412142,49000,200.0,-1068.0595572848506,26.01159119606018,0.014414892,0.014414892,245,1.7464160919189453e-05,48,0,0.007741182,0.0
5,1.4376632,50000,200.0,-1098.9618247687713,26.55397319793701,0.015485853,0.015485853,250,1.9729137420654297e-05,49,0,0.0072577437,0.0
6,1.4635947,51200,200.0,-1088.5461059065972,27.0770320892334,0.014990858,0.014990858,256,1.6033649444580078e-05,50,0,0.005016847,0.0
5,1.4648211,52200,200.0,-1073.5506100191817,27.662582874298096,0.018580452,0.018580452,261,1.6868114471435547e-05,51,0,0.008221079,0.0
5,1.4605104,53200,200.0,-1080.8932900083742,28.283672094345093,0.012785219,0.012785219,266,1.4781951904296875e-05,52,0,0.0061218147,0.0
5,1.4660561,54200,200.0,-1067.7941355673097,28.87834405899048,0.014293806,0.014293806,271,1.33514404296875e-05,53,0,0.0061061163,0.0
5,1.4688214,55200,200.0,-1044.5164507404274,29.41290307044983,0.01770832,0.01770832,276,1.5616416931152344e-05,54,0,0.007334518,0.0
5,1.5171211,56200,200.0,-1058.7187690818632,29.968141078948975,0.021039454,0.021039454,281,1.2516975402832031e-05,55,0,0.005960223,0.0
5,1.4964879,57200,200.0,-1026.0487851701976,30.555383920669556,0.013945077,0.013945077,286,9.894371032714844e-06,56,0,0.006771201,0.0
5,1.4620965,58200,200.0,-1014.7617856418099,31.095600128173828,0.015482402,0.015482402,291,9.953975677490234e-06,57,0,0.0083896,0.0
5,1.44338,59200,200.0,-1015.8375345608471,31.58539605140686,0.014843084,0.014843084,296,5.364418029785156e-06,58,0,0.006229069,0.0
6,1.4748833,60400,200.0,-1025.5282461572685,32.04062604904175,0.018262291,0.018262291,302,3.5762786865234375e-06,59,0,0.006838252,0.0
5,1.5027773,61400,200.0,-1041.7492013301858,32.49869203567505,0.01824715,0.01824715,307,4.5299530029296875e-06,60,0,0.00709899,0.0
5,1.537992,62400,200.0,-1040.2118382493022,32.95307421684265,0.014366621,0.014366621,312,6.258487701416016e-06,61,0,0.0062321755,0.0
5,1.5422674,63400,200.0,-1049.4478431305492,33.407045125961304,0.015919048,0.015919048,317,8.106231689453125e-06,62,0,0.006520706,0.0
5,1.5571008,64400,200.0,-1044.5408968790962,33.85090708732605,0.013614582,0.013614582,322,8.64267349243164e-06,63,0,0.0062463665,0.0
5,1.4973978,65400,200.0,-1061.8392626909542,34.34070897102356,0.019160574,0.019160574,327,8.940696716308594e-06,64,0,0.009042475,0.0
5,1.4767053,66400,200.0,-1043.068170721089,34.79479503631592,0.017917354,0.017917354,332,7.152557373046875e-06,65,0,0.0065823123,0.0
5,1.4939348,67400,200.0,-1042.9414485271705,35.28297519683838,0.019690294,0.019690294,337,9.298324584960938e-06,66,0,0.007927559,0.0
6,1.5208416,68600,200.0,-1034.4402947952465,35.74103808403015,0.015906647,0.015906647,343,6.735324859619141e-06,67,0,0.006593206,0.0
