#{"t_start": 1522941353.947114, "env_id": "Pendulum-v0"}
r,l,t
-1554.028498,200,2.365848
-1071.38783,200,2.446704
-1499.89386,200,2.523882
-1090.839223,200,2.589427
-1472.910479,200,2.655457
-1592.395859,200,3.451608
-938.225592,200,3.518596
-1553.215338,200,3.585447
-902.951436,200,3.685039
-1706.843527,200,3.754696
-1090.231711,200,3.893657
-771.977666,200,3.967262
-1586.382722,200,4.078282
-1297.177819,200,4.151828
-629.435735,200,4.21972
-1070.083657,200,4.359822
-829.779544,200,4.441038
-1016.93785,200,4.539843
-1419.312383,200,4.611699
-970.700227,200,4.677633
-1008.962676,200,4.824194
-1578.386788,200,4.889294
-1679.815957,200,4.987298
-1537.570079,200,5.066384
-900.193936,200,5.132351
-1570.243568,200,5.277404
-1343.724322,200,5.34347
-1010.669428,200,5.437169
-1087.672321,200,5.520495
-1822.133098,200,5.585437
-1328.54475,200,5.737113
-1329.841244,200,5.802278
-886.960108,200,5.88657
-1274.509846,200,5.9745
-1531.688048,200,6.039484
-1496.555727,200,6.185289
-1492.65695,200,6.255002
-893.989533,200,6.342709
-1067.344733,200,6.42929
-1169.387039,200,6.494524
-1416.502625,200,6.64125
-1660.821305,200,6.709402
-887.82835,200,6.789916
-948.508313,200,6.885461
-755.256889,200,6.956044
-900.34582,200,7.021136
-1181.624199,200,7.16388
-1008.731308,200,7.238542
-924.245358,200,7.332971
-904.762538,200,7.401789
-1544.326155,200,7.47326
-966.86594,200,7.612306
-1166.020782,200,7.679008
-985.877257,200,7.780992
-858.533784,200,7.855834
-1510.977899,200,7.922389
-1034.251925,200,8.066165
-1159.494893,200,8.131421
-1051.575629,200,8.230392
-989.518965,200,8.304465
-1016.902082,200,8.369489
-1104.913874,200,8.523245
-987.098521,200,8.588588
-988.499726,200,8.682212
-1033.943458,200,8.759506
-759.944452,200,8.825123
-988.402382,200,8.980936
-1623.145679,200,9.048157
-1617.030498,200,9.13826
-1164.144374,200,9.215247
-1020.255655,200,9.280878
-979.714355,200,9.427249
-1768.952673,200,9.504414
-891.724832,200,9.592764
-1117.162614,200,9.675204
-936.324008,200,9.74204
-1199.829526,200,9.893158
-979.685647,200,9.967827
-972.653179,200,10.048103
-909.852541,200,10.131647
-1585.119401,200,10.197268
-758.430749,200,10.338403
-1682.174463,200,10.404734
-918.626672,200,10.492789
-887.562623,200,10.578283
-1037.160087,200,10.644916
-1681.55699,200,10.713059
-995.030873,200,10.861884
-1033.305915,200,10.937122
-872.194748,200,11.071756
-1029.701328,200,11.161022
-1014.447881,200,11.2471
-1017.509163,200,11.412055
-900.566897,200,11.548253
-999.835718,200,11.634648
-1386.510038,200,11.702404
-921.322709,200,11.773667
-1097.756274,200,11.93018
-862.239564,200,12.008978
-1318.076589,200,12.10774
-1183.812203,200,12.193618
-1004.5514,200,12.285883
-1605.032608,200,12.443265
-1413.273129,200,12.51078
-1692.68772,200,12.593553
-1043.057672,200,12.664331
-970.023051,200,12.735478
-1296.04278,200,12.899619
-844.880621,200,12.972088
-1359.392902,200,13.052379
-901.04929,200,13.13527
-764.909072,200,13.21786
-1188.754372,200,13.364366
-1176.073227,200,13.436541
-1044.296006,200,13.520363
-1585.642921,200,13.591214
-1409.476024,200,13.662797
-876.123899,200,13.816822
-1209.193235,200,13.882953
-857.765423,200,13.99336
-1189.673156,200,14.097788
-1065.899801,200,14.220663
-1182.371116,200,14.408031
-1370.66029,200,14.504489
-881.358821,200,14.594388
-1320.304877,200,14.682669
-757.984132,200,14.75387
-797.83261,200,14.820421
-871.121042,200,14.976595
-1490.325841,200,15.067621
-884.758038,200,15.167941
-1183.402238,200,15.237823
-845.178704,200,15.305868
-1064.327962,200,15.459651
-1495.294829,200,15.551393
-1638.988891,200,15.656821
-1064.469098,200,15.724046
-1279.003821,200,15.790177
-1078.750133,200,15.937083
-1109.242939,200,16.01984
-1240.569348,200,16.103739
-1315.883557,200,16.178739
-1534.407821,200,16.244326
-860.673931,200,16.392168
-965.848267,200,16.4581
-873.327182,200,16.592794
-1057.838754,200,16.668558
-1110.162165,200,16.737668
-868.118941,200,16.895219
-1450.149252,200,16.971246
-1411.587618,200,17.10281
-1227.693462,200,17.190174
-642.218983,200,17.258854
-947.158186,200,17.406408
-1083.47225,200,17.518857
-1323.311477,200,17.624517
-851.10267,200,17.72197
-748.461576,200,17.799056
-1209.392934,200,17.976623
-851.969561,200,18.06634
-1280.182543,200,18.166513
-1154.621847,200,18.250578
-1532.72111,200,18.326074
-961.424528,200,18.481968
-860.700366,200,18.561303
-1066.256583,200,18.647938
-1082.355438,200,18.728951
-1654.290756,200,18.794202
-1016.889789,200,18.942599
-1130.075321,200,19.016738
-1554.785128,200,19.101824
-884.312701,200,19.185364
-970.341248,200,19.253183
-1792.990277,200,19.321149
-1239.587272,200,19.471604
-1497.465424,200,19.567608
-863.426897,200,19.652745
-1491.448931,200,19.722685
-852.863229,200,19.790067
-1191.803952,200,19.939316
-1724.508962,200,20.023438
-762.469809,200,20.110124
-1184.435879,200,20.182765
-1126.307201,200,20.247532
-1453.919401,200,20.393128
-986.584057,200,20.459672
-979.983158,200,20.560912
-882.684587,200,20.632724
-1288.984198,200,20.700503
