EpThisIter,ev_tdlam_before,entropy,EpLenMean,EpRewMean,trial,TimestepsSoFar,TimeElapsed,Iteration,surrgain,entloss,EpisodesSoFar,meankl,optimgain
5,-3.4809112548828125e-05,1.4242879,200.0,-1337.8119778301784,0,1000,1.111509084701538,1,0.009418394,0.0,5,0.007831727,0.009418394
5,0.06510663032531738,1.4560345,200.0,-1338.2691640292057,0,2000,1.5753810405731201,2,0.014278223,0.0,10,0.0075476556,0.014278223
5,0.12770861387252808,1.4810388,200.0,-1250.5264862930555,0,3000,2.0499820709228516,3,0.011347104,0.0,15,0.007321013,0.011347104
5,0.10631978511810303,1.4717185,200.0,-1203.2355477872763,0,4000,2.521054983139038,4,0.009727881,0.0,20,0.0047637126,0.009727881
5,0.01696711778640747,1.5226957,200.0,-1230.7856157042772,0,5000,2.9827630519866943,5,0.008204089,0.0,25,0.0057713813,0.008204089
5,0.00545954704284668,1.55792,200.0,-1253.4694376624018,0,6000,3.449605941772461,6,0.004846665,0.0,30,0.005123016,0.004846665
5,0.003751993179321289,1.5069274,200.0,-1255.8750607275033,0,7000,3.9054958820343018,7,0.011669964,0.0,35,0.0073983446,0.011669964
5,0.004075348377227783,1.5192342,200.0,-1251.889027682458,0,8000,4.369646787643433,8,0.013057793,0.0,40,0.0065442165,0.013057793
6,0.0017898082733154297,1.456657,200.0,-1209.0842164991168,0,9200,4.834346055984497,9,0.014131004,0.0,46,0.008950447,0.014131004
5,0.0012184977531433105,1.4709369,200.0,-1193.3897653556837,0,10200,5.292367935180664,10,0.0062362505,0.0,51,0.0050596585,0.0062362505
5,0.0005713701248168945,1.481374,200.0,-1196.720216894751,0,11200,5.753597974777222,11,0.0076989024,0.0,56,0.0075866655,0.0076989024
5,0.0003298521041870117,1.4456171,200.0,-1196.8714872355808,0,12200,6.219051122665405,12,0.012260228,0.0,61,0.0076926034,0.012260228
5,0.00014847517013549805,1.4486979,200.0,-1137.0762298299262,0,13200,6.683134078979492,13,0.014766472,0.0,66,0.008520005,0.014766472
5,0.0002149343490600586,1.5005879,200.0,-1132.582096576654,0,14200,7.137095928192139,14,0.011559866,0.0,71,0.0070681856,0.011559866
5,0.0001913309097290039,1.5551454,200.0,-1111.9401842967284,0,15200,7.611572980880737,15,0.018618803,0.0,76,0.006049209,0.018618803
5,0.00012928247451782227,1.5590823,200.0,-1102.1216696758693,0,16200,8.064629077911377,16,0.012807099,0.0,81,0.006895601,0.012807099
6,0.00015401840209960938,1.5796506,200.0,-1117.8998374072394,0,17400,8.526465892791748,17,0.011651196,0.0,87,0.007599542,0.011651196
5,9.59634780883789e-06,1.5417199,200.0,-1107.7935735655985,0,18400,9.083427906036377,18,0.01378832,0.0,92,0.009780928,0.01378832
5,0.00010317564010620117,1.5725613,200.0,-1099.545645511876,0,19400,9.613225936889648,19,0.008667339,0.0,97,0.005914093,0.008667339
5,0.00012946128845214844,1.6399628,200.0,-1103.1464101783076,0,20400,10.131669044494629,20,0.024241786,0.0,102,0.008110763,0.024241786
5,7.981061935424805e-05,1.6359844,200.0,-1152.301051147998,0,21400,10.5955069065094,21,0.014239008,0.0,107,0.007703384,0.014239008
5,8.469820022583008e-05,1.6012262,200.0,-1121.350653738185,0,22400,11.072284936904907,22,0.010902461,0.0,112,0.0068216557,0.010902461
5,5.710124969482422e-05,1.5609972,200.0,-1133.606876163359,0,23400,11.529102802276611,23,0.009983102,0.0,117,0.0068261824,0.009983102
5,4.965066909790039e-05,1.5581061,200.0,-1133.4297260544286,0,24400,12.129492044448853,24,0.013254314,0.0,122,0.00818485,0.013254314
6,7.891654968261719e-05,1.5587443,200.0,-1111.139729484469,0,25600,12.634619951248169,25,0.013390516,0.0,128,0.006526064,0.013390516
5,7.003545761108398e-05,1.5209751,200.0,-1118.8304001685494,0,26600,13.130465745925903,26,0.014287243,0.0,133,0.0073423604,0.014287243
5,4.357099533081055e-05,1.5189719,200.0,-1149.7327243253562,0,27600,13.617841005325317,27,0.01441339,0.0,138,0.0067439014,0.01441339
5,4.094839096069336e-05,1.4647626,200.0,-1157.3612602063472,0,28600,14.079519987106323,28,0.014083369,0.0,143,0.008589127,0.014083369
5,5.137920379638672e-05,1.4870324,200.0,-1118.680408868321,0,29600,14.587893009185791,29,0.01167353,0.0,148,0.0064848736,0.01167353
5,5.59687614440918e-05,1.5253925,200.0,-1132.1999588155898,0,30600,15.111057996749878,30,0.024890073,0.0,153,0.0064401845,0.024890073
5,6.282329559326172e-05,1.4653631,200.0,-1103.7473109072682,0,31600,15.687592029571533,31,0.010120783,0.0,158,0.0070206895,0.010120783
5,4.291534423828125e-05,1.4099127,200.0,-1116.846942501607,0,32600,16.201303005218506,32,0.015882941,0.0,163,0.008256594,0.015882941
5,3.8504600524902344e-05,1.3848898,200.0,-1129.269116038735,0,33600,16.67087483406067,33,0.010138346,0.0,168,0.006142689,0.010138346
6,3.325939178466797e-05,1.4085996,200.0,-1154.5261319741887,0,34800,17.141343116760254,34,0.014025534,0.0,174,0.005396814,0.014025534
5,4.088878631591797e-05,1.4533061,200.0,-1139.2332564923722,0,35800,17.6161208152771,35,0.018678002,0.0,179,0.0058166482,0.018678002
5,3.927946090698242e-05,1.4486058,200.0,-1137.4519616486607,0,36800,18.081442832946777,36,0.01680716,0.0,184,0.0072259996,0.01680716
5,4.690885543823242e-05,1.3857111,200.0,-1155.3734639975416,0,37800,18.537127017974854,37,0.015645497,0.0,189,0.008387283,0.015645497
5,4.5180320739746094e-05,1.3466158,200.0,-1169.175327202837,0,38800,19.019375801086426,38,0.015212538,0.0,194,0.0077018766,0.015212538
5,4.464387893676758e-05,1.3519288,200.0,-1178.996705081609,0,39800,19.476963758468628,39,0.018362606,0.0,199,0.0073916614,0.018362606
5,4.291534423828125e-05,1.3205879,200.0,-1158.833307083789,0,40800,19.942389965057373,40,0.015933134,0.0,204,0.007905204,0.015933134
5,2.7179718017578125e-05,1.332151,200.0,-1139.1237830335008,0,41800,20.410057067871094,41,0.021903524,0.0,209,0.007912289,0.021903524
6,2.9802322387695312e-05,1.3635453,200.0,-1100.360458851938,0,43000,20.867816925048828,42,0.013058445,0.0,215,0.006128642,0.013058445
