policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.004642806,0.0004464338,0.8754496201872826,-46.729706349999994,34,69632,379,0,2.3238394,69632,34,0.00721844,PP02,0.08525391,127.50006699562073,560.86
-0.008410816,0.00023378446,0.9403702728450298,-42.894593979999996,35,71680,421,0,2.2875617,71680,35,0.006906203,PP02,0.07929687,132.3537163734436,577.93
-0.005980509,0.003389962,0.6286065578460693,-36.22556133,36,73728,536,0,2.2440155,73728,36,0.0065385117,PP02,0.074560545,136.1747829914093,592.6
-0.0077259145,0.00019191574,0.8971714973449707,-31.83584629,37,75776,408,0,2.206746,75776,37,0.008018436,PP02,0.100292966,141.19241309165955,609.72
-0.005221636,0.00072583446,0.7948379665613174,-30.227890499999994,38,77824,502,0,2.1810286,77824,38,0.004537084,PP02,0.045654297,145.26843905448914,626.87
-0.009057394,0.00012366092,0.9192153140902519,-26.583188209999992,39,79872,408,0,2.1553102,79872,39,0.00670324,PP02,0.08481445,150.2773494720459,643.66
-0.006531164,0.00023589059,0.9302220568060875,-25.03292809,40,81920,484,0,2.1501482,81920,40,0.0075823627,PP02,0.1,154.50219988822937,660.71
-0.0074295374,0.00050254294,0.8843441233038902,-22.587170930000003,41,83968,502,0,2.1544967,83968,41,0.0066122822,PP02,0.07739258,158.57477140426636,678.28
-0.0039394805,0.0033138734,0.5592177510261536,-18.69663497,42,86016,582,0,2.13318,86016,42,0.007721752,PP02,0.09726562,162.0899384021759,700.53
-0.008769276,0.0005854871,0.8418596833944321,-17.00209576,43,88064,453,0,2.1121097,88064,43,0.007448755,PP02,0.09482422,166.60310316085815,717.84
-0.005678348,0.00024279072,0.9307940378785133,-15.059539780000001,44,90112,479,0,2.1104445,90112,44,0.007390174,PP02,0.09467773,170.87277936935425,735.51
-0.0055415197,0.00060356554,0.9107710942626,-14.368167970000002,45,92160,357,0,2.0929906,92160,45,0.0072995,PP02,0.091113284,176.59588813781738,743.61
