meankl,gmeankl,GEpLenMean,entloss,GEpRewMean,TimeElapsed,ev_tdlam_before,gsurrgain,gentloss,EpRewMean,entropy,Iteration,goptimgain,trial,gentropy,EpLenMean,optimgain,gev_tdlam_before,surrgain
0.007828521,0.007953439,200.0,0.0,-1289.60163813946,1.273134469985962,0.003993511199951172,0.014316311,0.0,-1289.60163813946,1.4581655,1,0.014316311,0,1.4499971,200.0,0.01297245,0.005566716194152832,0.01297245
0.0034607782,0.007534761,200.0,0.0,-1143.0989989873485,2.0446009635925293,0.062467992305755615,0.005260445,0.0,-1143.0989989873485,1.4409031,2,0.005260445,0,1.4311208,197.6,-0.0014150548,0.037327349185943604,-0.0014150548
0.0017537205,nan,198.4,0.0,-1229.5030299455236,2.8284833431243896,0.051616132259368896,nan,0.0,-1229.5030299455236,1.4026335,3,nan,0,nan,196.8,0.0012709461,0.036536574363708496,0.0012709461
0.010654175,0.012106964,197.6,0.0,-1234.9755672788392,3.6072561740875244,0.08447384834289551,0.009396149,0.0,-1234.9755672788392,1.4028972,4,0.009396149,0,1.3954967,196.4,0.0034011859,0.07586222887039185,0.0034011859
0.005378194,0.030372843,197.12,0.0,-1243.4374454079077,4.391628742218018,0.022641777992248535,0.0064096055,0.0,-1243.4374454079077,1.3942217,5,0.0064096055,0,1.3955852,196.30769230769232,0.00647735,0.062124550342559814,0.00647735
0.0035135034,0.024969287,203.46666666666667,0.0,-1236.2186791237693,5.1835103034973145,0.002390742301940918,0.016666282,0.0,-1236.2186791237693,1.3918263,6,0.016666282,0,1.3955384,196.1290322580645,0.0047588646,0.003706514835357666,0.0047588646
0.007655195,0.028161708,202.28571428571428,0.0,-1228.902797295439,5.977052450180054,0.0029969215393066406,0.017695613,0.0,-1228.902797295439,1.3761551,7,0.017695613,0,1.3954977,196.0,0.009123599,0.0008472204208374023,0.009123599
0.0065945084,0.014850089,201.4,0.0,-1232.2679211869624,6.755663871765137,0.001865088939666748,0.008009705,0.0,-1232.2679211869624,1.3762984,8,0.008009705,0,1.3827971,195.8,0.0029309436,0.0006216764450073242,0.0029309436
0.007998926,0.011152348,200.8,0.0,-1224.6311944490812,7.54877495765686,0.0005562305450439453,0.002483501,0.0,-1224.6311944490812,1.3823993,9,0.002483501,0,1.3865355,195.8,0.0024353648,0.0006695985794067383,0.0024353648
nan,0.0068006683,205.2,0.0,-1249.0022895253474,8.344398736953735,0.0004328489303588867,0.004904655,0.0,-1249.0022895253474,nan,10,0.004904655,0,1.3715969,195.8,nan,0.0006613731384277344,nan
0.012088703,0.0054446133,205.2,0.0,-1236.3026607629404,9.118593454360962,0.0006737709045410156,0.003394572,0.0,-1236.3026607629404,1.4216713,11,0.003394572,0,1.3740736,195.8,0.0076431795,0.0003330111503601074,0.0076431795
0.014989095,0.011461503,205.2,0.0,-1213.1569845727731,9.909746646881104,0.0004961490631103516,0.00500345,0.0,-1213.1569845727731,1.4218739,12,0.00500345,0,1.3740886,195.8,0.010222636,0.00040149688720703125,0.010222636
0.010582183,0.006257718,205.2,0.0,-1197.9142705275246,10.693756103515625,0.0004023313522338867,0.00563647,0.0,-1197.9142705275246,1.424947,13,0.00563647,0,1.3857934,195.8,0.013483779,0.00022935867309570312,0.013483779
0.011498306,nan,205.2,0.0,-1219.4237601220505,11.48695993423462,0.0001849532127380371,nan,0.0,-1219.4237601220505,1.4203349,14,nan,0,nan,195.8,0.007131042,0.00019466876983642578,0.007131042
0.011699828,0.0072792917,205.2,0.0,-1249.3855591231822,12.270230531692505,0.00022554397583007812,0.0056828302,0.0,-1249.3855591231822,1.4740803,15,0.0056828302,0,1.385545,195.8,0.0071424413,0.00028783082962036133,0.0071424413
0.013548429,0.013636524,205.2,0.0,-1254.9693138903458,13.052489280700684,0.00031566619873046875,0.017002705,0.0,-1254.9693138903458,1.4108996,16,0.017002705,0,1.3804222,195.8,0.017009914,0.00020331144332885742,0.017009914
0.014889274,0.013953851,205.2,0.0,-1265.5311847843507,13.839070081710815,0.00024235248565673828,0.010005571,0.0,-1265.5311847843507,1.4134411,17,0.010005571,0,1.3876202,195.8,0.01707652,0.00021952390670776367,0.01707652
0.012689194,0.010800571,200.8,0.0,-1269.0008982057934,14.64071011543274,0.00021916627883911133,0.008392728,0.0,-1269.0008982057934,1.3502506,18,0.008392728,0,1.3870434,200.8,0.012182942,0.0002238750457763672,0.012182942
0.010779981,0.014906145,200.8,0.0,-1279.1129773091284,15.439634561538696,0.00011837482452392578,0.0018643592,0.0,-1279.1129773091284,1.3496257,19,0.0018643592,0,1.3870238,200.8,0.0034983484,0.0001221299171447754,0.0034983484
0.01298552,0.010566955,200.8,0.0,-1270.8403610447178,16.220106601715088,0.00011098384857177734,0.010070775,0.0,-1270.8403610447178,1.3964983,20,0.010070775,0,1.4157759,200.8,0.015862107,0.0001156926155090332,0.015862107
0.009780066,0.030047864,195.8,0.0,-1274.5743474091007,17.028792142868042,0.00011402368545532227,0.017153516,0.0,-1274.5743474091007,1.3892866,21,0.017153516,0,1.4158063,200.2,0.0120922495,5.739927291870117e-05,0.0120922495
0.009104937,0.022098122,195.8,0.0,-1258.9322963517884,17.83759379386902,6.848573684692383e-05,0.010820389,0.0,-1258.9322963517884,1.3888997,22,0.010820389,0,1.415791,205.2,0.012022653,0.0001361370086669922,0.012022653
0.01471548,0.014940744,195.8,0.0,-1248.2658871265744,18.638721704483032,7.88569450378418e-05,0.017090876,0.0,-1248.2658871265744,1.3608258,23,0.017090876,0,1.4180562,205.2,0.0155445365,8.398294448852539e-05,0.0155445365
0.011331896,0.01448843,195.8,0.0,-1244.2603302020066,19.417452812194824,8.541345596313477e-05,0.03119157,0.0,-1244.2603302020066,1.36592,24,0.03119157,0,1.4526213,205.2,0.009089293,6.908178329467773e-05,0.009089293
