#{"t_start": 1522945849.1083431, "env_id": "Pendulum-v0"}
r,l,t
-1774.80598,200,1.524956
-876.470077,200,1.580404
-1596.933809,200,1.635485
-844.738655,200,1.69031
-1788.058737,200,1.744387
-756.455834,200,2.156046
-1652.923338,200,2.211921
-878.56268,200,2.268378
-1818.404937,200,2.325386
-1341.661401,200,2.382689
-1057.527301,200,2.769059
-1352.909708,200,2.823329
-1170.90011,200,2.87913
-894.648886,200,2.934043
-1019.764689,200,2.988539
-913.527521,200,3.141896
-755.599521,200,3.197209
-1531.49141,200,3.252623
-867.464801,200,3.307712
-1045.013467,200,3.362244
-1734.772471,200,3.527219
-1766.803698,200,3.58247
-1792.318002,200,3.636981
-928.492399,200,3.690798
-1723.00994,200,3.745708
-1636.466578,200,3.922091
-969.724033,200,3.975796
-1068.422616,200,4.031038
-1802.933115,200,4.085526
-1654.995492,200,4.140362
-1653.096115,200,4.298304
-863.079446,200,4.353131
-1398.011178,200,4.408566
-1764.093513,200,4.463572
-1691.134897,200,4.518051
-1788.62046,200,4.680317
-872.272108,200,4.734775
-1061.396367,200,4.789245
-1257.158368,200,4.844622
-1641.940699,200,4.899074
-1758.98231,200,5.063926
-880.810369,200,5.119275
-906.824119,200,5.173804
-865.897512,200,5.228969
-1111.390532,200,5.284202
-1218.951411,200,5.452289
-1073.288093,200,5.50692
-1067.015809,200,5.561358
-968.790285,200,5.61603
-1787.26504,200,5.671759
-1229.795817,200,5.727044
-1304.007106,200,5.889907
-1141.270362,200,5.94479
-1117.885978,200,5.999104
-1668.310461,200,6.055058
-1144.969996,200,6.109022
-1395.205235,200,6.280822
-1247.929776,200,6.33588
-1277.473661,200,6.391719
-903.652937,200,6.448552
-1314.805195,200,6.503118
-1167.540674,200,6.668569
-1102.960445,200,6.723399
-1120.119252,200,6.778887
-1032.533027,200,6.834579
-1176.575248,200,6.889426
-1522.442098,200,7.067395
-1712.115472,200,7.123126
-1231.362689,200,7.179008
-884.255592,200,7.234101
-868.235449,200,7.288329
-1563.836153,200,7.449341
-1050.306554,200,7.504982
-1186.042908,200,7.560278
-819.388049,200,7.614646
-1324.983363,200,7.669279
-896.232504,200,7.832597
-1141.999578,200,7.887112
-967.986858,200,7.941691
-1706.167499,200,7.996947
-873.718933,200,8.050761
-1737.173809,200,8.214439
-967.408132,200,8.269739
-911.05852,200,8.324861
-743.582059,200,8.379874
-1674.52772,200,8.434689
-1291.206596,200,8.601626
-968.604576,200,8.655933
-971.748973,200,8.710488
-1064.05801,200,8.779077
-1156.751099,200,8.834929
-1285.403867,200,8.888927
-1036.004607,200,9.049012
-856.146356,200,9.103638
-1714.918014,200,9.158662
-891.571925,200,9.214296
-1241.434426,200,9.270493
-938.384174,200,9.432432
-1683.431865,200,9.487721
-1277.588039,200,9.541993
-1456.859359,200,9.596367
-1663.50204,200,9.651314
-1714.914322,200,9.832325
-1851.340491,200,9.889019
-1074.750468,200,9.944314
-1300.671566,200,10.000289
-1629.919783,200,10.054426
-1096.303695,200,10.219127
-1754.435065,200,10.27306
-861.738827,200,10.326967
-878.577594,200,10.38096
-1673.293576,200,10.434874
-1166.233688,200,10.592723
-1124.550881,200,10.648256
-1804.912113,200,10.70486
-1424.379353,200,10.76006
-947.583131,200,10.815296
-1353.649848,200,10.980255
-864.960868,200,11.035209
-1425.21472,200,11.090049
-979.244576,200,11.144345
-1252.113933,200,11.199074
-1801.665075,200,11.370806
-1065.94532,200,11.425797
-1316.411605,200,11.481648
-894.941781,200,11.537035
-876.88951,200,11.592652
-957.8333,200,11.751742
-1174.660433,200,11.806019
-834.109392,200,11.86086
-1457.113741,200,11.91551
-900.619407,200,11.970469
-1143.249595,200,12.025372
-1792.218654,200,12.197213
-1767.853995,200,12.252891
-1250.107164,200,12.308768
-1538.149311,200,12.363979
-1187.555289,200,12.419742
-1528.71359,200,12.593611
-1538.759018,200,12.649484
-1463.337468,200,12.704446
-1874.221203,200,12.759048
-1066.361151,200,12.814365
-1066.926135,200,12.976741
-882.640015,200,13.032738
-756.324027,200,13.088521
-1185.383243,200,13.144006
-921.411266,200,13.198907
-1693.673909,200,13.362614
-1774.342949,200,13.417552
-1426.686713,200,13.473864
-784.870346,200,13.528859
-1143.538755,200,13.583313
-1291.476922,200,13.747868
-1589.466297,200,13.803061
-1240.884771,200,13.858477
-1049.543668,200,13.914435
-1358.511712,200,13.97045
-1032.710658,200,14.13594
-1359.136984,200,14.19103
-1107.036624,200,14.246434
-1790.968823,200,14.301836
-959.123348,200,14.355957
-948.025648,200,14.515679
-1043.346955,200,14.571173
-1257.258245,200,14.6256
-1778.283083,200,14.680584
-1182.314737,200,14.735609
-1233.319611,200,14.89727
-1568.455655,200,14.95246
-763.179621,200,15.007917
-869.90145,200,15.062278
-1626.372149,200,15.118016
-1299.579699,200,15.289383
-1663.708097,200,15.344604
-885.784658,200,15.400704
-1777.878017,200,15.457805
-930.787094,200,15.512572
-1555.897742,200,15.568635
-1654.937067,200,15.741447
