#{"t_start": 1523011745.5947452, "env_id": "RockSample"}
r,l,t
-1554.028498,200,2.479581
-1071.38783,200,2.54936
-1499.89386,200,2.630629
-1090.839223,200,2.697862
-1472.910479,200,2.766511
-1592.395859,200,3.28585
-938.225592,200,3.371531
-1553.215338,200,3.453982
-902.951436,200,3.522178
-1706.843527,200,3.590445
-1090.231711,200,3.74702
-771.977666,200,3.819424
-1586.382722,200,3.914284
-1297.177819,200,3.98523
-629.435735,200,4.052207
-1070.082885,200,4.2117
-836.439031,200,4.283302
-1016.941681,200,4.377857
-1419.314091,200,4.453284
-970.708525,200,4.522653
-1009.63705,200,4.678135
-1580.880628,200,4.744989
-1679.726346,200,4.837613
-1541.013586,200,4.909467
-900.316369,200,4.979454
-1570.393795,200,5.135263
-1345.841548,200,5.205295
-1019.69048,200,5.299249
-1099.924638,200,5.376998
-1823.628093,200,5.452539
-1327.893184,200,5.609548
-1326.855478,200,5.68478
-887.532356,200,5.774403
-1271.917725,200,5.849877
-1522.756887,200,5.918626
-1491.883637,200,6.071769
-1487.804631,200,6.143278
-888.552849,200,6.230326
-1067.356578,200,6.31391
-1168.662369,200,6.385544
-1405.658013,200,6.54183
-1677.813878,200,6.607972
-982.544429,200,6.693166
-957.464387,200,6.784726
-874.266254,200,6.851955
-958.009374,200,6.919309
-1185.769307,200,7.079
-882.46553,200,7.166276
-933.03544,200,7.247913
-771.214239,200,7.316105
-1544.712686,200,7.382851
-885.895987,200,7.547521
-1172.27046,200,7.631536
-1012.477325,200,7.716276
-979.997405,200,7.785083
-1587.639935,200,7.853983
-1041.229688,200,8.021509
-1177.093117,200,8.111561
-1066.996739,200,8.203826
-1088.326169,200,8.298342
-1045.279198,200,8.399613
-1113.01787,200,8.656553
-963.791903,200,8.762798
-953.849132,200,8.837717
-1074.660055,200,8.906567
-791.284651,200,8.980793
-677.785719,200,9.153835
-1668.960757,200,9.22994
-1703.320339,200,9.342791
-1169.34804,200,9.432322
-759.742795,200,9.533398
-890.143189,200,9.793175
-1804.370061,200,9.895775
-890.055445,200,10.010081
-1167.066862,200,10.116898
-761.793542,200,10.221197
-1328.510536,200,10.386847
-857.604701,200,10.463497
-1076.747636,200,10.549857
-907.467153,200,10.637437
-1549.606096,200,10.706682
-796.719682,200,10.860107
-1791.732494,200,10.92849
-937.316908,200,11.027831
-853.190467,200,11.106761
-998.701362,200,11.174993
-1773.939227,200,11.244071
-1041.61617,200,11.454819
-939.999514,200,11.57684
-1006.595717,200,11.645837
-918.478581,200,11.721585
-1014.94675,200,11.805651
-1103.909473,200,12.017343
-663.134993,200,12.106606
-1040.754954,200,12.181607
-1567.472428,200,12.251279
-898.313696,200,12.318127
-1010.220077,200,12.487766
-875.377878,200,12.56828
-1342.022268,200,12.654161
-1184.025124,200,12.741184
-981.160629,200,12.828356
-1643.265956,200,13.03687
-1458.833426,200,13.135578
-1736.64331,200,13.251789
-998.403757,200,13.349959
-996.32447,200,13.419721
-1327.206525,200,13.584191
-856.438143,200,13.650623
-1393.096967,200,13.745981
-859.552776,200,13.82324
-711.866272,200,13.902643
-1234.072432,200,14.10295
-1070.189009,200,14.177121
-1010.798695,200,14.284676
-1660.705289,200,14.356359
-1439.367417,200,14.424633
-872.512679,200,14.605361
-1082.268262,200,14.674645
-1005.777401,200,14.768438
