optimgain,surrgain,entloss,entropy,EpisodesSoFar,EpRewMean,EpThisIter,trial,meankl,TimestepsSoFar,TimeElapsed,ev_tdlam_before,Iteration,EpLenMean
0.009418394,0.009418394,0.0,1.4242879,5,-1337.8119778301784,5,0,0.007831727,1000,0.8369169235229492,-3.4809112548828125e-05,1,200.0
0.014278223,0.014278223,0.0,1.4560345,10,-1338.2691640292057,5,0,0.0075476556,2000,1.307309865951538,0.06510663032531738,2,200.0
0.011347199,0.011347199,0.0,1.4810388,15,-1250.5264862930555,5,0,0.0073213037,3000,1.7813398838043213,0.12770861387252808,3,200.0
0.010152364,0.010152364,0.0,1.4719869,20,-1203.5691753926683,5,0,0.004524979,4000,2.2552878856658936,0.10606235265731812,4,200.0
0.008168572,0.008168572,0.0,1.5232241,25,-1231.318299479305,5,0,0.005865305,5000,2.716486930847168,0.016847074031829834,5,200.0
0.0051719174,0.0051719174,0.0,1.5572113,30,-1254.7478680159031,5,0,0.0053163217,6000,3.20307993888855,0.0053327083587646484,6,200.0
0.011654346,0.011654346,0.0,1.505302,35,-1256.5540477447703,5,0,0.0073397676,7000,3.6734979152679443,0.0037969350814819336,7,200.0
0.013175245,0.013175245,0.0,1.5149251,40,-1252.091293397428,5,0,0.006696971,8000,4.151352882385254,0.004280507564544678,8,200.0
0.015141656,0.015141656,0.0,1.4596841,46,-1216.4488080756323,6,0,0.009051675,9200,4.6286468505859375,0.0018726587295532227,9,200.0
0.0059175454,0.0059175454,0.0,1.4603277,51,-1194.592048017373,5,0,0.005541538,10200,5.105310916900635,0.0009821057319641113,10,200.0
0.010742931,0.010742931,0.0,1.4472344,56,-1201.6726550917688,5,0,0.006276515,11200,5.58539080619812,0.0007204413414001465,11,200.0
0.012131622,0.012131622,0.0,1.3912054,61,-1205.8197683969768,5,0,0.008917452,12200,6.20411491394043,0.0003590583801269531,12,200.0
0.0140496185,0.0140496185,0.0,1.3786899,66,-1146.4265905717996,5,0,0.007765975,13200,6.729768991470337,0.00017011165618896484,13,200.0
0.011824083,0.011824083,0.0,1.4170225,71,-1130.4810832454477,5,0,0.0048330035,14200,7.375720024108887,0.00022739171981811523,14,200.0
0.014098627,0.014098627,0.0,1.4799297,76,-1105.7931586317827,5,0,0.0068520084,15200,7.985222816467285,0.00022214651107788086,15,200.0
0.011709653,0.011709653,0.0,1.4708883,81,-1098.340700657403,5,0,0.005733656,16200,8.46775197982788,0.00017011165618896484,16,200.0
0.01003842,0.01003842,0.0,1.4782007,87,-1111.2340134130768,6,0,0.0059199845,17400,8.974089860916138,0.0001761913299560547,17,200.0
0.012545001,0.012545001,0.0,1.4342368,92,-1108.841834690287,5,0,0.009193011,18400,9.56461787223816,5.644559860229492e-05,18,200.0
0.011151019,0.011151019,0.0,1.4505899,97,-1095.8411030112688,5,0,0.0060207187,19400,10.040291786193848,0.00010865926742553711,19,200.0
0.023564393,0.023564393,0.0,1.5237142,102,-1093.3934251386863,5,0,0.007954684,20400,10.593411922454834,0.00010037422180175781,20,200.0
0.012607116,0.012607116,0.0,1.5170212,107,-1152.6959116396454,5,0,0.006292598,21400,11.164989948272705,7.867813110351562e-05,21,200.0
0.01433799,0.01433799,0.0,1.4759802,112,-1126.6120507053888,5,0,0.009613587,22400,11.691817045211792,9.316205978393555e-05,22,200.0
0.007967966,0.007967966,0.0,1.4401848,117,-1138.1954605833623,5,0,0.00496936,23400,12.201661825180054,7.939338684082031e-05,23,200.0
0.014116077,0.014116077,0.0,1.4540629,122,-1133.7469836998068,5,0,0.0075783245,24400,12.687205791473389,6.657838821411133e-05,24,200.0
0.013772836,0.013772836,0.0,1.4347945,128,-1108.7199682230864,6,0,0.0077557457,25600,13.218721866607666,7.265806198120117e-05,25,200.0
0.016995762,0.016995762,0.0,1.4124147,133,-1115.638104250371,5,0,0.0077677956,26600,13.746798753738403,7.390975952148438e-05,26,200.0
0.01523461,0.01523461,0.0,1.4065654,138,-1155.9940243461765,5,0,0.0065075774,27600,14.27012586593628,4.506111145019531e-05,27,200.0
0.012007056,0.012007056,0.0,1.3497002,143,-1164.027936084571,5,0,0.008214373,28600,14.878602981567383,4.661083221435547e-05,28,200.0
0.0133029055,0.0133029055,0.0,1.377014,148,-1121.255281519764,5,0,0.007657325,29600,15.4183988571167,5.799531936645508e-05,29,200.0
