optimgain,surrgain,entloss,entropy,EpisodesSoFar,EpRewMean,EpThisIter,trial,meankl,TimestepsSoFar,TimeElapsed,ev_tdlam_before,Iteration,EpLenMean
0.027372902,0.027372902,0.0,1.4219639,225,-1032.9722463263147,5,0,0.007674189,45000,22.785637855529785,3.534555435180664e-05,44,200.0
0.014161604,0.014161604,0.0,1.3923644,230,-1053.787159052468,5,0,0.007870836,46000,23.262508869171143,2.86102294921875e-05,45,200.0
0.013051266,0.013051266,0.0,1.4171164,235,-1026.2691329278753,5,0,0.006303359,47000,23.73976492881775,2.9087066650390625e-05,46,200.0
0.019834414,0.019834414,0.0,1.4115707,240,-1009.697105564245,5,0,0.0068481034,48000,24.209590911865234,2.7418136596679688e-05,47,200.0
0.014820083,0.014820083,0.0,1.3533652,245,-1038.101486926561,5,0,0.0077509973,49000,24.689756870269775,2.294778823852539e-05,48,200.0
0.017264305,0.017264305,0.0,1.3753945,250,-1078.6273446837622,5,0,0.008336345,50000,25.172543048858643,2.4259090423583984e-05,49,200.0
0.017487459,0.017487459,0.0,1.402438,256,-1073.7953033592573,6,0,0.005579058,51200,25.683198928833008,2.9385089874267578e-05,50,200.0
0.019968431,0.019968431,0.0,1.3875759,261,-1046.0154559891132,5,0,0.008352912,52200,26.14782691001892,2.2590160369873047e-05,51,200.0
0.016919037,0.016919037,0.0,1.384948,266,-1055.1582605455958,5,0,0.0077404743,53200,26.629721879959106,2.086162567138672e-05,52,200.0
0.015011656,0.015011656,0.0,1.3891579,271,-1043.0348273237512,5,0,0.0067883097,54200,27.104176998138428,1.800060272216797e-05,53,200.0
0.016067222,0.016067222,0.0,1.3835757,276,-1012.2541716225032,5,0,0.00724202,55200,27.582599878311157,1.537799835205078e-05,54,200.0
0.020652398,0.020652398,0.0,1.443656,281,-1035.6829689979154,5,0,0.007978517,56200,28.060853958129883,1.4603137969970703e-05,55,200.0
0.015774313,0.015774313,0.0,1.43151,286,-998.6540296705653,5,0,0.00693233,57200,28.529310941696167,1.341104507446289e-05,56,200.0
0.013037903,0.013037903,0.0,1.3999411,291,-985.1980320603222,5,0,0.0072648027,58200,29.001497745513916,1.2278556823730469e-05,57,200.0
0.016162917,0.016162917,0.0,1.3792809,296,-986.8645043977809,5,0,0.0070212255,59200,29.47035789489746,9.059906005859375e-06,58,200.0
0.02098681,0.02098681,0.0,1.40861,302,-996.911602106124,6,0,0.006906666,60400,29.943492889404297,9.5367431640625e-06,59,200.0
0.01518789,0.01518789,0.0,1.4269514,307,-1000.7449803218648,5,0,0.008535467,61400,30.416372060775757,1.1563301086425781e-05,60,200.0
0.021520793,0.021520793,0.0,1.4570696,312,-991.2108425924711,5,0,0.0072326204,62400,30.91974401473999,8.225440979003906e-06,61,200.0
0.014342832,0.014342832,0.0,1.4644977,317,-1002.504077043854,5,0,0.0057589523,63400,31.436460733413696,7.510185241699219e-06,62,200.0
