nupdates,value_loss,total_timesteps,trial,Name,fps,EpRewMean,Iteration,approxkl,EpLenMean,explained_variance,policy_loss,serial_timesteps,time_elapsed,loss_ent,clipfrac
26,0.00044248052,53248,0,PP02,1240,-105.81142593150685,26,0.007882373,710.8082191780821,0.5325670540332794,-0.018093988,53248,46.01023602485657,5.457473,0.10161133
27,0.00026916183,55296,0,PP02,1191,-105.61039485135136,27,0.0097655635,722.8243243243244,0.5548979938030243,-0.019815044,55296,47.728867530822754,5.4296093,0.13237305
28,0.027665526,57344,0,PP02,1257,-104.88731200000001,28,0.0069549144,737.6493506493506,0.09827792644500732,-0.01598917,57344,49.35844802856445,5.41959,0.087841794
29,0.013696914,59392,0,PP02,1288,-105.51928275641025,29,0.00890242,746.8205128205128,0.5944934487342834,-0.015668143,59392,50.9479284286499,5.4195166,0.117529295
30,0.000576767,61440,0,PP02,1278,-105.10627275949365,30,0.010014454,757.620253164557,0.634546548128128,-0.022613809,61440,52.55071306228638,5.378509,0.14350586
31,0.06095413,63488,0,PP02,1278,-104.85207584337351,31,0.008120216,742.6265060240963,0.3967476487159729,-0.02139122,63488,54.15254735946655,5.3767095,0.10615234
32,0.00034749034,65536,0,PP02,1261,-103.47477201176471,32,0.009000339,762.8,0.598831057548523,-0.020016495,65536,55.77636790275574,5.3579493,0.121191405
33,0.0003243629,67584,0,PP02,1282,-102.94498523255814,33,0.008569861,772.5348837209302,0.6340516805648804,-0.021010976,67584,57.37368202209473,5.301958,0.11723633
34,0.010397653,69632,0,PP02,1285,-102.40495210227272,34,0.0097789485,773.8977272727273,0.7398051619529724,-0.021120984,69632,58.96750736236572,5.284594,0.11713867
35,0.0015727434,71680,0,PP02,1288,-100.77115285555556,35,0.00873122,792.2555555555556,0.45339441299438477,-0.017196927,71680,60.556702852249146,5.2833405,0.119580075
36,0.00031726094,73728,0,PP02,1291,-100.11994510989012,36,0.008678233,801.1318681318681,0.5032062232494354,-0.019248977,73728,62.1429123878479,5.249695,0.12036133
37,0.0002594691,75776,0,PP02,1292,-99.62277407608696,37,0.010858642,809.8152173913044,0.6510642468929291,-0.025796127,75776,63.72826933860779,5.2083445,0.15644531
38,0.016554123,77824,0,PP02,1275,-99.06607770212766,38,0.010766376,822.1382978723404,0.5940385162830353,-0.020841006,77824,65.3344898223877,5.224242,0.14941406
39,0.015597202,79872,0,PP02,1285,-99.33277711578948,39,0.007248953,825.3684210526316,0.6451494693756104,-0.015558446,79872,66.92779755592346,5.2475405,0.08911133
40,0.0003579401,81920,0,PP02,1292,-98.60499912499999,40,0.009207676,833.4375,0.6430443227291107,-0.023805387,81920,68.51287078857422,5.232423,0.12973633
41,0.00042790594,83968,0,PP02,1291,-97.14895767346938,41,0.009252345,849.0816326530612,0.7749341875314713,-0.023739861,83968,70.0986876487732,5.1937466,0.12856445
42,0.015853476,86016,0,PP02,1287,-96.58160131999999,42,0.009644056,856.43,0.6717563569545746,-0.02066339,86016,71.68929719924927,5.165647,0.13227539
43,0.011123217,88064,0,PP02,1275,-95.49683252999999,43,0.01011336,873.95,0.7924610376358032,-0.019678062,88064,73.29470300674438,5.1477118,0.13798828
44,0.0003934211,90112,0,PP02,1285,-94.52473172999997,44,0.010809222,873.95,0.7085004448890686,-0.025418868,90112,74.88760375976562,5.1190734,0.15126953
45,0.012120128,92160,0,PP02,1295,-93.22026812999998,45,0.009266771,873.9,0.7954637557268143,-0.018827355,92160,76.468985080719,5.1031814,0.12919922
46,0.00040838248,94208,0,PP02,1289,-91.94630531000001,46,0.010993296,888.9,0.7907086908817291,-0.026068548,94208,78.05725598335266,5.0578513,0.15458985
47,0.0003833097,96256,0,PP02,1284,-89.54708291999998,47,0.011032697,903.84,0.8576595038175583,-0.028140968,96256,79.65301012992859,5.003946,0.15263672
48,0.014664352,98304,0,PP02,1302,-89.32866322999999,48,0.010067228,899.77,0.758198544383049,-0.019466411,98304,81.22615575790405,4.986409,0.14331055
49,0.00040842625,100352,0,PP02,1275,-86.61159896999997,49,0.011395221,930.35,0.8122375905513763,-0.029213563,100352,82.83259963989258,4.9252415,0.16147462
50,0.00042038076,102400,0,PP02,1294,-84.83177699,50,0.010655408,930.35,0.7788494378328323,-0.025506949,102400,84.41449332237244,4.865235,0.14819336
51,0.0004394188,104448,0,PP02,1294,-83.28758574,51,0.010381004,945.75,0.8152253031730652,-0.02324554,104448,85.99680733680725,4.8109336,0.14750977
52,0.00039510406,106496,0,PP02,1292,-81.69956724,52,0.011196484,960.71,0.8309867978096008,-0.0267434,106496,87.58147144317627,4.7589135,0.15546875
53,0.00059527386,108544,0,PP02,1290,-78.02327741,53,0.010808999,976.23,0.8041006028652191,-0.024035024,108544,89.16901016235352,4.727086,0.14912109
54,0.00041818907,110592,0,PP02,1295,-76.10716821,54,0.010331298,976.23,0.8486341089010239,-0.023037344,110592,90.75003504753113,4.696018,0.14057617
55,0.00053279905,112640,0,PP02,1282,-74.8067576,55,0.011077708,991.74,0.8773976191878319,-0.02833363,112640,92.3472535610199,4.6782126,0.16025391
56,0.02477319,114688,0,PP02,1304,-72.74628346,56,0.011168943,995.26,0.6386689841747284,-0.019913683,114688,93.91697525978088,4.6969867,0.15566406
57,0.0334275,116736,0,PP02,1292,-71.67908363000001,57,0.010990782,1010.15,0.7559632211923599,-0.020183718,116736,95.50156688690186,4.727743,0.12866211
58,0.013617086,118784,0,PP02,1309,-68.00068114000001,58,0.009570609,1013.45,0.8194907605648041,-0.020613924,118784,97.06627702713013,4.757394,0.12924805
59,0.0007052042,120832,0,PP02,1305,-65.66891777999999,59,0.012212998,1013.45,0.837426096200943,-0.029959336,120832,98.63549995422363,4.751783,0.17788085
60,0.0009713041,122880,0,PP02,1307,-61.47655413,60,0.011116901,1028.19,0.7587482333183289,-0.024075247,122880,100.20263600349426,4.7423706,0.15766601
61,0.00079968554,124928,0,PP02,1314,-59.13938548999999,61,0.010917006,1043.31,0.7593498378992081,-0.024149891,124928,101.76122188568115,4.707877,0.14804688
62,0.022128556,126976,0,PP02,1316,-57.885773529999994,62,0.01148501,1043.25,0.7118522524833679,-0.020508211,126976,103.3169116973877,4.71371,0.14492187
63,0.001049509,129024,0,PP02,1305,-56.00437507999999,63,0.010663465,1043.25,0.7511837482452393,-0.025439817,129024,104.88552975654602,4.715251,0.1487793
64,0.020702071,131072,0,PP02,1307,-53.039483819999994,64,0.011430231,1039.69,0.7412620782852173,-0.020167869,131072,106.45254564285278,4.7142677,0.15581055
65,0.11921732,133120,0,PP02,1296,-50.91412253000001,65,0.011650373,1038.36,0.6056029200553894,-0.023921752,133120,108.03279185295105,4.7267294,0.13833007
66,0.028586993,135168,0,PP02,1301,-48.50719365999999,66,0.013499998,1025.36,0.83281210064888,-0.027387347,135168,109.6071925163269,4.754243,0.17666015
67,0.029828405,137216,0,PP02,1316,-47.60837712999999,67,0.012128652,1033.19,0.8308170586824417,-0.019433929,137216,111.16305208206177,4.7646203,0.16308594
68,0.0109223295,139264,0,PP02,1302,-44.12224219999999,68,0.011583789,1057.12,0.8847930729389191,-0.023002792,139264,112.735271692276,4.7548876,0.15966797
69,0.061148442,141312,0,PP02,1300,-42.62352827999999,69,0.011114064,1061.9,0.6139406561851501,-0.024303343,141312,114.31003952026367,4.7400584,0.1506836
70,0.03915351,143360,0,PP02,1305,-40.42239998,70,0.011538125,1076.78,0.8641800433397293,-0.024561435,143360,115.8790671825409,4.7299466,0.15429688
71,0.020746551,145408,0,PP02,1311,-38.822351340000004,71,0.012416765,1095.13,0.8921307325363159,-0.023929229,145408,117.4411370754242,4.7312455,0.17285156
72,0.0020062623,147456,0,PP02,1316,-36.47429638,72,0.01180272,1110.54,0.6349854469299316,-0.025533568,147456,118.99683427810669,4.71029,0.15512696
73,0.024994407,149504,0,PP02,1296,-32.41437604,73,0.014076872,1134.02,0.8764087185263634,-0.024324302,149504,120.57646465301514,4.692754,0.18427734
74,0.009744218,151552,0,PP02,1255,-29.58247447,74,0.010336204,1153.89,0.9142549857497215,-0.02027794,151552,122.20822739601135,4.684817,0.14140625
75,0.021250924,153600,0,PP02,1296,-28.327316769999996,75,0.013400035,1167.55,0.8339312076568604,-0.022001835,153600,123.78771138191223,4.674675,0.18378906
76,0.0016747059,155648,0,PP02,1305,-25.80471414,76,0.010383178,1182.44,0.4767386317253113,-0.025330946,155648,125.35619688034058,4.6612434,0.14926758
77,0.0010073406,157696,0,PP02,1313,-22.762824799999997,77,0.0118044475,1188.72,0.731189489364624,-0.024942927,157696,126.9169545173645,4.6293573,0.16713867
78,0.022653982,159744,0,PP02,1295,-17.669551260000002,78,0.011716197,1203.72,0.8017080873250961,-0.018394921,159744,128.49854516983032,4.593028,0.15297851
79,0.0012409298,161792,0,PP02,1302,-15.500295800000002,79,0.014453757,1203.72,0.6768033802509308,-0.029371703,161792,130.07150149345398,4.5494175,0.19794922
80,0.0010774757,163840,0,PP02,1304,-12.728898660000002,80,0.01183685,1219.15,0.6359270811080933,-0.023364512,163840,131.64200067520142,4.524804,0.16591796
