gentropy,meankl,gmeankl,EpRewMean,entropy,Iteration,goptimgain,optimgain,trial,gsurrgain,surrgain,GEpLenMean,EpLenMean,GEpRewMean,entloss,TimeElapsed,ev_tdlam_before,gev_tdlam_before,gentloss
1.4499971,0.007828521,0.007953439,-1289.60163813946,1.4581655,1,0.014316311,0.01297245,0,0.014316311,0.01297245,200.0,200.0,-1289.60163813946,0.0,1.2649331092834473,0.003993511199951172,0.005566716194152832,0.0
1.4278857,0.0032507242,0.008080462,-1143.0989989873485,1.4547132,2,0.0058305347,-0.0006577582,0,0.0058305347,-0.0006577582,200.0,197.6,-1143.0989989873485,0.0,2.0270211696624756,0.062467992305755615,0.037327349185943604,0.0
nan,0.012153547,nan,-1223.5120391646424,1.4037117,3,nan,0.011081527,0,nan,0.011081527,198.4,196.8,-1223.5120391646424,0.0,2.808370590209961,0.05216413736343384,0.03817570209503174,0.0
1.3979794,0.01313265,0.011886369,-1229.730104020531,1.4000193,4,0.005997298,0.0052557234,0,0.005997298,0.0052557234,197.6,196.4,-1229.730104020531,0.0,3.57798433303833,0.08776479959487915,0.07249265909194946,0.0
1.4214467,0.020430453,0.0038070567,-1222.4983354728777,1.4001149,5,0.0008100553,0.016703244,0,0.0008100553,0.016703244,197.12,196.30769230769232,-1222.4983354728777,0.0,4.3810365200042725,0.03328812122344971,0.0013150572776794434,0.0
1.4130055,0.014319573,0.005907124,-1218.2663803992723,1.3972365,6,0.006038538,0.021102654,0,0.006038538,0.021102654,203.46666666666667,196.1290322580645,-1218.2663803992723,0.0,5.1459667682647705,0.0022292137145996094,0.0074269771575927734,0.0
1.405543,0.019689012,0.0027844764,-1218.5441939742504,1.3972679,7,0.004172049,0.021948662,0,0.004172049,0.021948662,202.28571428571428,196.0,-1218.5441939742504,0.0,5.933201551437378,0.002237558364868164,0.0006287097930908203,0.0
1.430546,0.024097247,0.010379301,-1219.9753516705305,1.3972477,8,0.009542369,0.0152367605,0,0.009542369,0.0152367605,201.4,195.8,-1219.9753516705305,0.0,6.711371898651123,0.0016363263130187988,0.001304030418395996,0.0
1.4338826,0.024886714,0.013290218,-1208.012631064115,1.397354,9,0.011680622,0.021866078,0,0.011680622,0.021866078,200.8,195.8,-1208.012631064115,0.0,7.490066051483154,0.0002697110176086426,0.0007245540618896484,0.0
1.417812,0.014742538,0.014170274,-1236.8615142741778,1.3901572,10,0.008139718,0.013472943,0,0.008139718,0.013472943,205.2,195.8,-1236.8615142741778,0.0,8.25588059425354,0.0003848075866699219,0.0005222558975219727,0.0
nan,0.031674735,nan,-1226.6911529391734,1.3902696,11,nan,0.03510984,0,nan,0.03510984,205.2,195.8,-1226.6911529391734,0.0,9.041296243667603,0.0006628036499023438,0.0003598332405090332,0.0
1.4177661,0.02196824,0.013270248,-1211.125930373397,1.3902591,12,0.015740138,0.017161082,0,0.015740138,0.017161082,205.2,195.8,-1211.125930373397,0.0,9.8265061378479,0.0004483461380004883,0.00032961368560791016,0.0
1.4178873,0.029309604,0.018428033,-1221.7581140584166,1.3901508,13,0.014297444,0.028293017,0,0.014297444,0.028293017,205.2,195.8,-1221.7581140584166,0.0,10.613164186477661,0.00040161609649658203,4.6372413635253906e-05,0.0
1.4098165,0.014805667,0.0060729063,-1248.8865504885118,1.3957826,14,0.010148276,0.031845074,0,0.010148276,0.031845074,205.2,195.8,-1248.8865504885118,0.0,11.389881372451782,0.00013762712478637695,0.00014913082122802734,0.0
1.4098256,0.030353857,0.018312672,-1280.4777081349137,1.3959147,15,0.006159804,0.03326805,0,0.006159804,0.03326805,205.2,195.8,-1280.4777081349137,0.0,12.18565034866333,0.00020271539688110352,-9.5367431640625e-07,0.0
nan,0.032253236,nan,-1297.6334674629738,1.3958141,16,nan,0.03073752,0,nan,0.03073752,205.2,195.8,-1297.6334674629738,0.0,12.978271484375,0.0002766847610473633,0.00013244152069091797,0.0
nan,0.03867356,nan,-1321.6575772010144,1.3958699,17,nan,0.041313253,0,nan,0.041313253,205.2,195.8,-1321.6575772010144,0.0,13.765289068222046,0.00023353099822998047,0.00011342763900756836,0.0
1.4111179,0.037384503,0.013651818,-1329.751544252304,1.3955482,18,0.02573843,0.05445221,0,0.02573843,0.05445221,200.8,200.8,-1329.751544252304,0.0,14.556355476379395,0.0001837611198425293,0.00012958049774169922,0.0
1.4111315,0.035699315,0.02543517,-1334.3330438124844,1.3958689,19,0.008504439,0.055774894,0,0.008504439,0.055774894,200.8,200.8,-1334.3330438124844,0.0,15.353900671005249,0.0001558065414428711,3.695487976074219e-05,0.0
1.4486707,0.054724872,0.009837402,-1313.8946654284052,1.395949,20,0.0164733,0.042480603,0,0.0164733,0.042480603,200.8,200.8,-1313.8946654284052,0.0,16.1386981010437,7.349252700805664e-05,6.401538848876953e-05,0.0
1.4487165,0.06117868,0.021406882,-1298.9732233303716,1.3957163,21,0.019212887,0.024363814,0,0.019212887,0.024363814,195.8,200.2,-1298.9732233303716,0.0,16.935775995254517,0.00011581182479858398,2.3126602172851562e-05,0.0
1.4487864,0.046649136,0.010107145,-1276.092168783406,1.3958536,22,0.007791858,0.02332589,0,0.007791858,0.02332589,195.8,205.2,-1276.092168783406,0.0,17.730576515197754,7.194280624389648e-05,1.9311904907226562e-05,0.0
1.4391428,0.043977816,0.0117149595,-1255.9277745925028,1.3957714,23,0.010883318,0.0670873,0,0.010883318,0.0670873,195.8,205.2,-1255.9277745925028,0.0,18.52198028564453,7.003545761108398e-05,3.0159950256347656e-05,0.0
