#{"t_start": 1522967547.306168, "env_id": "Pendulum-v0"}
r,l,t
-1554.028498,200,2.51361
-1071.38783,200,2.585096
-1499.89386,200,2.669211
-1090.839223,200,2.747357
-1472.910479,200,2.813968
-1592.395859,200,3.508196
-938.225592,200,3.603641
-1553.215338,200,3.699259
-902.951436,200,3.784513
-1706.843527,200,3.858662
-1090.231711,200,4.023832
-771.977666,200,4.108905
-1586.382722,200,4.202141
-1297.177819,200,4.297994
-629.435735,200,4.386821
-1070.082885,200,4.569182
-836.439031,200,4.639
-1016.941681,200,4.726849
-1419.314091,200,4.794648
-970.708525,200,4.863884
-1009.63705,200,5.057527
-1580.880628,200,5.142549
-1679.726346,200,5.230676
-1541.013586,200,5.308712
-900.316369,200,5.412218
-1570.393795,200,5.601065
-1345.841548,200,5.681277
-1019.69048,200,5.773201
