EpThisIter,meankl,surrgain,trial,EpisodesSoFar,entropy,optimgain,entloss,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpRewMean
5,0.007831727,0.009418394,0,5,1.4242879,0.009418394,0.0,1.003770112991333,1000,-3.4809112548828125e-05,200.0,-1337.8119778301784
5,0.0075476556,0.014278223,0,10,1.4560345,0.014278223,0.0,1.5483551025390625,2000,0.06510663032531738,200.0,-1338.2691640292057
5,0.0073213037,0.011347199,0,15,1.4810388,0.011347199,0.0,2.1157848834991455,3000,0.12770861387252808,200.0,-1250.5264862930555
5,0.004524979,0.010152364,0,20,1.4719869,0.010152364,0.0,2.593712091445923,4000,0.10606235265731812,200.0,-1203.5691753926683
5,0.005865305,0.008168572,0,25,1.5232241,0.008168572,0.0,3.1571860313415527,5000,0.016847074031829834,200.0,-1231.318299479305
