#{"t_start": 1522947687.60071, "env_id": "Pendulum-v0"}
r,l,t
-1765.757638,200,4.483412
-981.258161,200,4.550285
-1649.291435,200,4.627046
-1082.385908,200,4.697967
-1550.327353,200,4.772985
-940.087385,200,5.47161
-1596.882716,200,5.538133
-864.624026,200,5.618013
-1575.52186,200,5.688588
-1376.607907,200,5.763805
-1070.04002,200,6.222599
-1441.370184,200,6.328483
-1104.895835,200,6.399257
-889.80963,200,6.465776
-985.448907,200,6.531789
-799.286665,200,6.7886
-1070.226885,200,6.874951
-1759.650152,200,6.943777
-852.037367,200,7.010339
-1105.94071,200,7.07723
-1647.445005,200,7.342733
-1849.078236,200,7.423975
-1472.649079,200,7.493474
-764.052582,200,7.560132
-1499.475044,200,7.629676
-1411.399915,200,7.865447
-856.07378,200,7.966524
-1064.51531,200,8.035798
-1672.747486,200,8.103006
-1379.297122,200,8.173055
-1529.875091,200,8.410555
-800.254779,200,8.50042
-994.435947,200,8.574826
-1434.551698,200,8.641571
-1400.363616,200,8.714176
-1739.380136,200,8.957528
-977.440173,200,9.049244
-1074.347663,200,9.123081
-1163.347459,200,9.193109
-1479.817779,200,9.265281
-1804.89177,200,9.51664
-873.853787,200,9.60915
-905.332758,200,9.687781
-1036.58965,200,9.760668
-894.332697,200,9.826751
-1174.819514,200,10.065128
-888.657117,200,10.155574
-1039.908401,200,10.236428
-907.016271,200,10.309351
-1648.224961,200,10.375535
-994.567257,200,10.442394
-1183.554347,200,10.686812
-1063.369176,200,10.780186
-960.373248,200,10.846967
-1351.127648,200,10.914022
-1034.27055,200,10.983948
-1305.158669,200,11.266129
-1140.302249,200,11.343812
-1205.549043,200,11.415967
-888.120614,200,11.482654
-1084.057171,200,11.548421
-1178.816649,200,11.796541
-1069.535322,200,11.882181
-960.017916,200,11.952357
-764.888532,200,12.019101
-1030.545182,200,12.087081
-1318.608063,200,12.339587
-1823.167114,200,12.434458
-1150.008614,200,12.505902
-981.677665,200,12.572855
-885.260033,200,12.638954
-1606.630201,200,12.877738
-696.044806,200,12.976903
-1242.731053,200,13.048892
-886.79572,200,13.114619
-1360.316538,200,13.185562
-829.511793,200,13.428432
-864.867919,200,13.523323
-1010.80804,200,13.595593
-1528.954167,200,13.663431
-770.245643,200,13.733797
-1701.185667,200,13.982114
-971.60858,200,14.079666
-1178.881448,200,14.156857
-1246.778658,200,14.228448
-1877.88617,200,14.307535
-1292.738119,200,14.545281
-968.850472,200,14.638515
-913.433458,200,14.716716
-996.550662,200,14.78782
-874.881973,200,14.854187
-1207.969696,200,14.923943
-1016.949711,200,15.184237
-909.300645,200,15.271941
-1630.628903,200,15.341041
-893.744064,200,15.408875
-1124.561021,200,15.47758
-864.27006,200,15.728829
-1617.481094,200,15.817511
-1257.880826,200,15.88464
-1282.789506,200,15.950633
-1644.818283,200,16.017479
-1649.460024,200,16.264229
-1722.987685,200,16.363012
-969.64784,200,16.430071
-1204.822402,200,16.4985
-1408.614444,200,16.56448
-977.019178,200,16.806665
-1604.818841,200,16.899366
-977.084439,200,16.969089
-889.858336,200,17.034973
-1444.174174,200,17.101261
