EpLenMean,entloss,TimeElapsed,gsurrgain,entropy,gmeankl,GEpLenMean,gentropy,goptimgain,trial,ev_tdlam_before,EpRewMean,gev_tdlam_before,Iteration,surrgain,meankl,GEpRewMean,optimgain,gentloss
200.0,0.0,1.7687959671020508,0.010833919,1.4464196,0.008526621,200.0,1.4231058,0.010833919,0,0.0030562281608581543,-1270.7447789025225,0.0012127161026000977,1,0.012705911,0.008445717,-1270.7447789025225,0.012705911,0.0
197.6,0.0,2.8899190425872803,0.007404453,1.4715246,0.011182932,200.0,1.4306742,0.007404453,0,0.058387577533721924,-1183.1712249226878,0.04534554481506348,2,0.01322542,0.014574716,-1183.1712249226878,0.01322542,0.0
196.8,0.0,3.9904959201812744,0.0043823654,1.4657799,0.011492035,198.4,1.4388402,0.0043823654,0,0.0717393159866333,-1212.2748260320716,0.052529990673065186,3,0.007542455,0.014462781,-1212.2748260320716,0.007542455,0.0
196.4,0.0,5.111982107162476,0.0067071794,1.4657061,0.014803427,197.6,1.4380574,0.0067071794,0,0.08459782600402832,-1213.66211596048,0.12328857183456421,4,0.0041336706,0.01541132,-1213.66211596048,0.0041336706,0.0
196.30769230769232,0.0,6.213050842285156,nan,1.4465736,nan,197.12,nan,nan,0,0.03375738859176636,-1206.027411669833,0.02320784330368042,5,0.0055738334,0.013513841,-1206.027411669833,0.0055738334,nan
196.1290322580645,0.0,7.339794874191284,nan,1.4086696,nan,203.46666666666667,nan,nan,0,0.0037723779678344727,-1188.0568449188308,0.0018135309219360352,6,0.005251715,0.01336177,-1188.0568449188308,0.005251715,nan
196.0,0.0,8.45473313331604,0.00025430415,1.4177657,0.0045327283,202.28571428571428,1.4042141,0.00025430415,0,0.002258121967315674,-1187.2807965394009,0.0002225041389465332,7,0.002570767,0.008105956,-1187.2807965394009,0.002570767,0.0
195.8,nan,9.57611083984375,0.007925849,nan,0.008928461,201.4,1.4014369,0.007925849,0,0.0015995502471923828,-1179.7129650106185,0.00022149085998535156,8,nan,nan,-1179.7129650106185,nan,0.0
195.8,0.0,10.701358079910278,0.0042823097,1.4089457,0.010215599,200.8,1.4068304,0.0042823097,0,0.0006043314933776855,-1161.4748496251336,0.00030159950256347656,9,0.0060971696,0.005028044,-1161.4748496251336,0.0060971696,0.0
195.8,0.0,11.808474779129028,0.0049492903,1.3839109,0.007320715,205.2,1.4100641,0.0049492903,0,0.00043135881423950195,-1176.0062774815972,0.0005263686180114746,10,0.0068478463,0.006001623,-1176.0062774815972,0.0068478463,0.0
195.8,0.0,12.92357087135315,0.007220905,1.3868711,0.013988421,205.2,1.403262,0.007220905,0,0.000661313533782959,-1162.413175280087,0.00031185150146484375,11,0.005127471,0.007590098,-1162.413175280087,0.005127471,0.0
195.8,0.0,14.016316890716553,0.003414385,1.3474334,0.0073803645,205.2,1.376526,0.003414385,0,0.0005615949630737305,-1146.8043146704445,0.00019377470016479492,12,0.008271012,0.011390507,-1146.8043146704445,0.008271012,0.0
195.8,0.0,15.123939037322998,0.0042568515,1.3398962,0.012874891,205.2,1.3710523,0.0042568515,0,0.00040781497955322266,-1148.3863847501666,0.0003820061683654785,13,0.006860115,0.012132362,-1148.3863847501666,0.006860115,0.0
195.8,0.0,16.217337131500244,0.0067715542,1.3497514,0.008196127,205.2,1.3551551,0.0067715542,0,0.0003108382225036621,-1157.9608690902612,0.00011646747589111328,14,0.006337747,0.008766031,-1157.9608690902612,0.006337747,0.0
195.8,0.0,17.334045886993408,0.008490946,1.3524084,0.0113670165,205.2,1.345132,0.008490946,0,0.00027042627334594727,-1192.9906283845116,0.00011855363845825195,15,0.003610173,0.007827764,-1192.9906283845116,0.003610173,0.0
195.8,0.0,18.43849492073059,0.012326349,1.3567699,0.014408334,205.2,1.3376577,0.012326349,0,0.00022226572036743164,-1210.007590418853,0.00014466047286987305,16,0.012456199,0.010673491,-1210.007590418853,0.012456199,0.0
195.8,0.0,19.549572944641113,0.004123617,1.3747561,0.010398364,205.2,1.3627013,0.004123617,0,0.0002595186233520508,-1247.9807826795497,0.00017178058624267578,17,0.006112471,0.00804971,-1247.9807826795497,0.006112471,0.0
200.8,0.0,20.65956401824951,0.010296248,1.3665857,0.010246452,200.8,1.3451757,0.010296248,0,0.00012201070785522461,-1283.8363131508777,0.00016629695892333984,18,0.0075947233,0.008863366,-1283.8363131508777,0.0075947233,0.0
200.8,0.0,21.769654989242554,0.004826431,1.3734764,0.011003994,200.8,1.3547468,0.004826431,0,0.0001754164695739746,-1296.7360067960703,0.00013881921768188477,19,0.010453608,0.011975697,-1296.7360067960703,0.010453608,0.0
200.8,0.0,22.898462057113647,0.0036941632,1.3595971,0.012985298,200.8,1.3353299,0.0036941632,0,0.00018107891082763672,-1285.385374154808,8.14199447631836e-05,20,0.010515533,0.012078721,-1285.385374154808,0.010515533,0.0
200.2,0.0,24.055726766586304,0.003311702,1.3596282,0.011270129,195.8,1.335327,0.003311702,0,0.00014382600784301758,-1284.7198798932855,9.036064147949219e-05,21,0.008699337,0.010776082,-1284.7198798932855,0.008699337,0.0
205.2,0.0,25.22035002708435,0.0068614352,1.3596495,0.012576765,195.8,1.3254678,0.0068614352,0,0.00016039609909057617,-1288.8188959947388,8.183717727661133e-05,22,0.019869408,0.015556754,-1288.8188959947388,0.019869408,0.0
205.2,0.0,26.379994869232178,0.00800026,1.3510833,0.0110615995,195.8,1.3541039,0.00800026,0,7.355213165283203e-05,-1289.797443263678,6.699562072753906e-05,23,0.009152811,0.012548508,-1289.797443263678,0.009152811,0.0
205.2,0.0,27.49192976951599,0.0044562984,1.3611457,0.013597654,195.8,1.3588564,0.0044562984,0,7.18832015991211e-05,-1291.9161821192938,7.444620132446289e-05,24,0.002668033,0.010379648,-1291.9161821192938,0.002668033,0.0
205.2,0.0,28.60890793800354,0.0064438535,1.3688943,0.00814003,195.8,1.3805236,0.0064438535,0,9.608268737792969e-05,-1292.2008547618696,5.412101745605469e-05,25,0.009165607,0.012183373,-1292.2008547618696,0.009165607,0.0
205.2,0.0,29.778582096099854,0.0064173695,1.3695458,0.014531495,195.8,1.3885295,0.0064173695,0,0.00010061264038085938,-1259.3058726724812,8.052587509155273e-05,26,0.020008037,0.014328831,-1259.3058726724812,0.020008037,0.0
205.2,0.0,31.07335090637207,0.015345596,1.3777264,0.018399183,195.8,1.388489,0.015345596,0,6.711483001708984e-05,-1238.5154369583367,8.183717727661133e-05,27,0.013016855,0.009787094,-1238.5154369583367,0.013016855,0.0
205.2,0.0,32.25541615486145,0.00247022,1.3603517,0.0149343815,195.8,1.3912767,0.00247022,0,6.628036499023438e-05,-1239.2276849640593,5.8650970458984375e-05,28,0.012578504,0.013265291,-1239.2276849640593,0.012578504,0.0
205.2,0.0,33.47700500488281,0.009825653,1.3581039,0.015103163,195.8,1.3913047,0.009825653,0,2.2172927856445312e-05,-1247.3315003210166,6.157159805297852e-05,29,0.0035359724,0.010416742,-1247.3315003210166,0.0035359724,0.0
200.8,0.0,34.64249396324158,0.011208498,1.358062,0.01049654,195.8,1.3805209,0.011208498,0,5.650520324707031e-05,-1219.7160931155345,3.337860107421875e-05,30,0.006963372,0.015324483,-1219.7160931155345,0.006963372,0.0
200.8,0.0,35.84976577758789,0.0045076692,1.3580734,0.01683662,200.8,1.3805846,0.0045076692,0,5.328655242919922e-05,-1180.5841888289947,2.6941299438476562e-05,31,0.0037291176,0.018526562,-1180.5841888289947,0.0037291176,0.0
200.8,0.0,37.14377808570862,0.015318485,1.3581759,0.020661518,200.8,1.380534,0.015318485,0,4.112720489501953e-05,-1159.2656348412488,5.245208740234375e-05,32,0.011837611,0.017057888,-1159.2656348412488,0.011837611,0.0
195.8,0.0,38.31976079940796,0.0034881267,1.3596525,0.022033393,200.8,1.3805264,0.0034881267,0,2.3484230041503906e-05,-1127.8628231116047,5.066394805908203e-05,33,0.009251438,0.011946142,-1127.8628231116047,0.009251438,0.0
195.8,0.0,39.45218586921692,0.018280452,1.3583269,0.01374663,200.2,1.3899127,0.018280452,0,3.141164779663086e-05,-1135.2556383524084,2.491474151611328e-05,34,0.01688774,0.0147301685,-1135.2556383524084,0.01688774,0.0
195.8,0.0,40.605921030044556,0.019015767,1.3642889,0.030173115,205.2,1.3899509,0.019015767,0,2.7179718017578125e-05,-1149.9412247103035,3.0040740966796875e-05,35,0.00484231,0.0132065015,-1149.9412247103035,0.00484231,0.0
195.8,0.0,41.77609300613403,0.043346334,1.36436,0.032587837,205.2,1.3899432,0.043346334,0,3.1888484954833984e-05,-1122.6198049554114,4.13060188293457e-05,36,0.015049942,0.023385648,-1122.6198049554114,0.015049942,0.0
195.8,0.0,42.957237005233765,0.016860649,1.3617144,0.016250458,205.2,1.3898919,0.016860649,0,2.1159648895263672e-05,-1135.7655441540294,2.2411346435546875e-05,37,0.009446448,0.010923497,-1135.7655441540294,0.009446448,0.0
195.8,0.0,44.12754988670349,nan,1.3683558,nan,205.2,nan,nan,0,2.950429916381836e-05,-1159.286308379577,3.123283386230469e-05,38,0.010105562,0.0149382185,-1159.286308379577,0.010105562,nan
195.8,nan,45.31030297279358,nan,nan,nan,205.2,nan,nan,0,2.294778823852539e-05,-1200.1872509377445,2.568960189819336e-05,39,nan,nan,-1200.1872509377445,nan,nan
195.8,0.0,46.512760162353516,0.010896593,1.368875,0.037617758,205.2,1.3898017,0.010896593,0,2.2113323211669922e-05,-1218.296678856442,2.6047229766845703e-05,40,0.014451242,0.014545919,-1218.296678856442,0.014451242,0.0
195.8,0.0,47.740642070770264,nan,1.3919672,nan,205.2,nan,nan,0,2.2292137145996094e-05,-1238.1077874641342,2.014636993408203e-05,41,0.0075570983,0.009853544,-1238.1077874641342,0.0075570983,nan
195.8,0.0,49.032646894454956,0.01653931,1.3919976,0.04099548,205.2,1.3899509,0.01653931,0,1.430511474609375e-05,-1196.4319898402932,2.4497509002685547e-05,42,0.008681368,0.023358569,-1196.4319898402932,0.008681368,0.0
200.8,0.0,50.17099380493164,0.038895324,1.4061056,0.031732008,200.8,1.3900229,0.038895324,0,9.357929229736328e-06,-1223.7669543195948,2.2292137145996094e-05,43,0.0061933557,0.007905499,-1223.7669543195948,0.0061933557,0.0
200.8,0.0,51.334587812423706,0.02640349,1.4030675,0.031053621,200.8,1.3898008,0.02640349,0,1.245737075805664e-05,-1247.3635962630362,2.0682811737060547e-05,44,0.011292738,0.008148849,-1247.3635962630362,0.011292738,0.0
200.8,0.0,52.522180795669556,0.020895006,1.3999611,0.04566001,200.8,1.3902808,0.020895006,0,1.5556812286376953e-05,-1227.0346197084332,1.615285873413086e-05,45,0.016377833,0.0146469865,-1227.0346197084332,0.016377833,0.0
200.2,0.0,53.7010281085968,0.015586153,1.4039308,0.036584683,195.8,1.3900063,0.015586153,0,1.627206802368164e-05,-1214.6351680958876,1.3589859008789062e-05,46,0.013341884,0.0114274435,-1214.6351680958876,0.013341884,0.0
205.2,nan,54.88664197921753,0.0144909285,nan,0.027813025,195.8,1.3899733,0.0144909285,0,1.7940998077392578e-05,-1222.6363311485443,1.0728836059570312e-05,47,nan,nan,-1222.6363311485443,nan,0.0
205.2,0.0,56.066899061203,0.026933525,1.4038785,0.027363706,195.8,1.3899035,0.026933525,0,1.3053417205810547e-05,-1233.4717783464698,1.3887882232666016e-05,48,0.019717641,0.013020424,-1233.4717783464698,0.019717641,0.0
205.2,0.0,57.28263878822327,0.016284358,1.4039314,0.031834867,195.8,1.389964,0.016284358,0,1.52587890625e-05,-1206.1935663038857,1.233816146850586e-05,49,0.027884874,0.015020482,-1206.1935663038857,0.027884874,0.0
205.2,0.0,58.47200679779053,0.0068277223,1.4039309,0.027634809,195.8,1.3898842,0.0068277223,0,1.5854835510253906e-05,-1237.5348795110135,8.225440979003906e-06,50,0.035461497,0.017695125,-1237.5348795110135,0.035461497,0.0
205.2,0.0,59.68918204307556,0.0070112003,1.40393,0.040984668,195.8,1.3899645,0.0070112003,0,1.0192394256591797e-05,-1234.249901360312,9.119510650634766e-06,51,0.01053757,0.018362239,-1234.249901360312,0.01053757,0.0
205.2,0.0,60.87799286842346,0.0220285,1.4248128,0.03406939,195.8,1.3898038,0.0220285,0,5.424022674560547e-06,-1260.856229025677,8.404254913330078e-06,52,0.028344186,0.012392694,-1260.856229025677,0.028344186,0.0
205.2,0.0,62.04964303970337,0.023267038,1.4249166,0.03217495,195.8,1.3899815,0.023267038,0,1.4007091522216797e-05,-1268.0074411866954,1.0132789611816406e-05,53,0.024579333,0.02991706,-1268.0074411866954,0.024579333,0.0
205.2,0.0,63.26046013832092,0.021647321,1.4250387,0.036250725,195.8,1.389932,0.021647321,0,1.4960765838623047e-05,-1261.7820863060379,7.331371307373047e-06,54,0.021039627,0.04651723,-1261.7820863060379,0.021039627,0.0
200.8,0.0,64.47644901275635,0.017724171,1.4248053,0.016379341,195.8,1.3899562,0.017724171,0,1.1980533599853516e-05,-1254.0940425027106,8.64267349243164e-06,55,0.022254981,0.02323194,-1254.0940425027106,0.022254981,0.0
200.8,0.0,65.71037697792053,0.034698714,1.4248743,0.041725084,200.8,1.3898094,0.034698714,0,1.3232231140136719e-05,-1240.7805802736093,1.0073184967041016e-05,56,0.04563974,0.03126638,-1240.7805802736093,0.04563974,0.0
200.8,0.0,67.00126099586487,0.034186427,1.4278054,0.032856114,200.8,1.3900058,0.034186427,0,4.887580871582031e-06,-1260.505370724522,9.000301361083984e-06,57,0.013015095,0.01415919,-1260.505370724522,0.013015095,0.0
195.8,0.0,68.45645904541016,0.015697546,1.4278464,0.039033435,200.8,1.3899148,0.015697546,0,1.3828277587890625e-05,-1207.3983340051575,7.569789886474609e-06,58,0.02254408,0.04031976,-1207.3983340051575,0.02254408,0.0
195.8,0.0,69.84921193122864,0.023372542,1.4278971,0.03182978,200.2,1.3900148,0.023372542,0,1.329183578491211e-05,-1201.1261272309723,6.198883056640625e-06,59,0.051317334,0.037396703,-1201.1261272309723,0.051317334,0.0
195.8,0.0,71.22506999969482,0.037534714,1.4277351,0.032941945,205.2,1.3899558,0.037534714,0,1.150369644165039e-05,-1170.1439680424955,7.569789886474609e-06,60,0.017907398,0.04243584,-1170.1439680424955,0.017907398,0.0
195.8,0.0,72.45481395721436,0.023454601,1.4278976,0.02326669,205.2,1.3899535,0.023454601,0,1.0251998901367188e-05,-1145.2557314435126,7.033348083496094e-06,61,0.035435528,0.03563188,-1145.2557314435126,0.035435528,0.0
195.8,0.0,73.69860792160034,0.009584056,1.4278479,0.03164109,205.2,1.3899509,0.009584056,0,8.165836334228516e-06,-1136.9664813793545,4.112720489501953e-06,62,0.023353033,0.046285152,-1136.9664813793545,0.023353033,0.0
195.8,0.0,74.91227197647095,nan,1.4278864,nan,205.2,nan,nan,0,9.47713851928711e-06,-1095.8135335588295,6.735324859619141e-06,63,0.033452965,0.032386176,-1095.8135335588295,0.033452965,nan
195.8,0.0,76.12127375602722,0.024282996,1.4278952,0.029652178,205.2,1.3900479,0.024282996,0,8.58306884765625e-06,-1098.326442483021,3.993511199951172e-06,64,0.027331308,0.03682778,-1098.326442483021,0.027331308,0.0
195.8,0.0,77.33711695671082,0.024469914,1.4278784,0.027016085,205.2,1.3898823,0.024469914,0,7.987022399902344e-06,-1068.2831948888272,5.841255187988281e-06,65,0.038653668,0.03915061,-1068.2831948888272,0.038653668,0.0
195.8,0.0,78.55320811271667,0.018623807,1.4278266,0.028868899,205.2,1.3899814,0.018623807,0,8.761882781982422e-06,-1076.3567208117609,5.543231964111328e-06,66,0.01732426,0.03737183,-1076.3567208117609,0.01732426,0.0
195.8,0.0,79.77374005317688,0.020795133,1.4277974,0.030980587,205.2,1.3899839,0.020795133,0,3.814697265625e-06,-1059.0045223195752,4.708766937255859e-06,67,0.00034051063,0.04290144,-1059.0045223195752,0.00034051063,0.0
200.8,0.0,80.99896287918091,0.030460425,1.4279088,0.016898163,200.8,1.3899646,0.030460425,0,6.556510925292969e-06,-1108.7350124779318,4.172325134277344e-06,68,0.020891953,0.028267065,-1108.7350124779318,0.020891953,0.0
200.8,0.0,82.25810694694519,0.01702254,1.4279375,0.02446021,200.8,1.3898928,0.01702254,0,6.67572021484375e-06,-1142.165296137068,5.364418029785156e-06,69,0.032794423,0.028821459,-1142.165296137068,0.032794423,0.0
200.8,0.0,83.55284094810486,0.01803066,1.4278172,0.018386021,200.8,1.3899035,0.01803066,0,6.258487701416016e-06,-1163.7221488485236,3.874301910400391e-06,70,0.026240077,0.03537035,-1163.7221488485236,0.026240077,0.0
200.2,0.0,84.80236101150513,0.027137661,1.4278365,0.016936574,195.8,1.3899844,0.027137661,0,4.5299530029296875e-06,-1174.5055799368142,2.205371856689453e-06,71,0.029283538,0.037447974,-1174.5055799368142,0.029283538,0.0
205.2,0.0,86.04846501350403,0.020558536,1.4277642,0.0149132805,195.8,1.3906562,0.020558536,0,3.159046173095703e-06,-1160.9342751325737,3.933906555175781e-06,72,0.0043381564,0.057140924,-1160.9342751325737,0.0043381564,0.0
205.2,0.0,87.30664992332458,0.0057792068,1.4277656,0.04146533,195.8,1.3906772,0.0057792068,0,5.7220458984375e-06,-1142.6566047279607,5.424022674560547e-06,73,0.00699497,0.036357284,-1142.6566047279607,0.00699497,0.0
205.2,0.0,88.56718683242798,0.015532923,1.427834,0.03711831,195.8,1.3906833,0.015532923,0,5.662441253662109e-06,-1131.9399577369127,4.0531158447265625e-06,74,0.011271736,0.037283964,-1131.9399577369127,0.011271736,0.0
