#{"t_start": 1523010276.16183, "env_id": "RockSample"}
r,l,t
-1,1,8.669087
-3,6,8.67186
-3,28,8.685596
-2,7,8.688842
-2,3,8.690598
-1,1,8.691461
-1,1,8.692238
-2,4,8.694185
-1,5,8.696953
0,4,8.700347
0,8,8.704424
-1,1,8.705475
-1,4,8.708205
-1,6,8.711333
-1,1,8.711943
-2,6,8.715239
-2,20,8.725089
-1,2,8.726321
-2,8,8.730044
-3,9,8.734175
-1,1,8.734692
-3,7,8.738065
-1,1,8.738669
-1,15,8.746596
-1,13,8.753373
-1,1,8.753978
-2,8,8.757734
-2,4,8.759681
-1,8,8.76339
-1,2,8.764347
-1,1,8.76486
-1,1,8.765367
-1,2,8.766309
-4,30,8.78058
-1,1,8.781316
-1,1,8.782038
-3,4,8.784091
-1,1,8.784627
-1,1,8.785141
-2,10,8.789626
-1,2,8.790587
-1,2,8.791531
-1,1,8.792033
-1,1,8.792544
-2,5,8.79487
-2,8,8.798606
-1,2,8.799773
-1,2,8.800737
-1,3,8.802136
-3,5,8.804686
-2,6,8.807469
-2,2,8.808458
-3,6,8.811297
-1,1,8.811817
-1,2,8.812761
-1,5,8.815702
0,29,8.839561
-4,13,8.845533
-2,16,8.85299
-2,19,8.862329
-1,2,8.863457
-2,4,8.865622
-1,1,8.866226
-2,24,8.877553
-1,1,8.878106
-1,2,8.879372
-1,7,8.882873
-3,8,8.886514
-1,3,8.887894
-1,6,8.890586
-1,1,8.891095
-1,18,8.898988
-1,1,8.89951
-6,21,8.909078
0,8,8.912766
-2,6,8.915643
-1,2,8.916823
-2,13,8.922769
-1,1,8.923306
-3,7,8.926549
-4,18,8.935147
-1,1,8.93575
-1,5,8.93836
1,13,8.944369
-1,4,8.946366
-2,5,8.949055
-1,1,8.949649
-5,15,8.958-2,13,9.265825
-3,16,9.274081
-1,2,9.274889
-1,1,9.275303
-1,1,9.275707
1,16,9.284366
-1,1,9.285317
-2,12,9.290099
-1,1,9.290578
-2,4,9.293636
-1,2,9.294711
-2,3,9.296259
-1,2,9.297286
-2,7,9.300425
-2,2,9.302734
-2,4,9.305479
-1,1,9.306101
-2,5,9.308208
-1,1,9.308632
-1-1,16,9.985861
-1,1,9.986459
-1,1,9.986984
-1,1,9.987502
-1,4,9.989526
-1,1,9.991048
-2,3,9.992888
-1,1,9.993543
-4,24,10.007219
-2,6,10.010034
-1,2,10.011021
-5,21,10.023955
-2,8,10.027634
-3,7,10.030861
-1,4,10.032741
-3,9,10.037011
-1,1,10.037535
-2,2,10.038519
-1,1,10.039037
-1,1,10.039579
-4,30,10.053668
-3,14,10.061106
-1,4,10.0637
-1,4,10.066359
-2,6,10.069871
-1,3,10.071496
-1,1,10.072091
-1,5,10.074702
-1,17,10.082504
-1,2,10.083501
-1,1,10.084111
-1,1,10.084666
-2,3,10.08651
0,8,10.090186
-1,1,10.090703
-1,1,10.09121
-1,1,10.091717
-2,2,10.092697
-1,7,10.095966
-3,7,10.099732
-2,5,10.102408
-2,5,10.105005
-1,1,10.105524
-1,2,10.106476
-1,3,10.107852
-1,7,10.111047
-1,23,10.121611
-1,1,10.122319
-11,29,10.135628
-2,9,10.139694
-6,29,10.152699
-1,6,10.155456
-2,4,10.157332
-1,2,10.158284
-1,1,10.158809
-4,31,10.17286
-1,1,10.173431
-2,2,10.174602
-1,4,10.17676
-1,3,10.17838
-1,2,10.179544
-2,9,10.184277
-1,1,10.184828
-3,14,10.191836
-1,8,10.198023
-3,7,10.206538
-4,37,10.228781
-4,24,10.239755
-1,1,10.240288
-2,7,10.243486
-1,2,10.244433
-2,3,10.245854
0,7,10.249044
-1,4,10.250855
-1,9,10.255152
-3,6,10.257927
-1,23,10.268402
-1,1,10.268948
-1,1,10.26947
-1,1,10.269983
-3,11,10.274932
-1,8,10.27852
-1,2,10.279467
-1,2,10.280406
-1,1,10.281077
-2,8,10.285084
-1,1,10.285625
-6,30,10.299073
2,19,10.307851
-3,10,10.312483
-2,7,10.315661
-5,31,10.330171
-2,5,10.33297
-2,6,10.341462
-1,3,10.342897
-3,14,10.350421
-3,9,10.354659
-1,1,10.35519
-1,2,10.356153
-1,2,10.357102
-4,14,10.364291
-1,1,10.364829
0,14,10.372333
-1,3,10.374
-1,1,10.374607
-2,2,10.375746
0,3,10.377418
-2,39,10.397135
-1,4,10.39989
-1,1,10.400653
-1,1,10.401385
-1,1,10.40212
-2,7,10.406126
-1,1,10.406733
-1,2,10.407855
-1,2,10.408976
-1,12,10.415283
-1,20,10.424836
-1,2,10.425851
-1,30,10.440259
-3,10,10.44570-2,15,10.768142
0,9,10.771657
-1,3,10.772842
-1,3,10.774074
-1,6,10.776185
-1,1,10.776602
-3,9,10.779913
-2,4,10.783189
0,11,10.790306
-2,3,10.791527
-1,2,10.792288
-1,2,10.793211
-1,25,10.808008
-1,1,10.808651
-1,1,10.809345
-1,5,10.81124
-1,1,10.811863
-1,1,10.812468
-1,2,10.813545
-1,1,10.814032
-2,11,10.81978
-14-5,32,11.560254
-1,10,11.566265
-1,1,11.566803
-10,67,11.599562
-1,6,11.602281
-2,7,11.605497
-1,1,11.606016
-1,2,11.606964
-1,2,11.607907
-1,6,11.610584
-2,5,11.613636
-1,3,11.615261
-2,4,11.617149
-2,9,11.621274
1,16,11.62923
-1,1,11.629857
-1,5,11.63231
-1,3,11.633835
-1,5,11.637258
-1,1,11.637815
-1,1,11.638331
-1,1,11.638839
-2,5,11.641227
-4,17,11.65287
-2,10,11.657924
-1,1,11.658602
-3,3,11.661937
-1,3,11.664259
-1,1,11.665097
-1,3,11.666584
-1,4,11.66852
-1,2,11.670201
-3,4,11.673306
-1,7,11.676843
-6,26,11.693669
-1,2,11.694953
-1,1,11.695605
-2,6,11.699281
-4,11,11.705539
-2,4,11.709122
-1,9,11.71591
-2,12,11.723682
-1,2,11.724652
-2,7,11.730005
-1,8,11.735431
-1,2,11.736403
-1,1,11.736923
0,5,11.740999
-1,4,11.742956
-2,6,11.745702
-1,19,11.755028
-1,1,11.755565
-1,5,11.757933
-2,10,11.7627
-1,1,11.763284
-1,1,11.763903
-1,4,11.766083
-1,1,11.766611
-3,7,11.769875
-2,2,11.770867
-2,27,11.783462
-2,5,11.785823
-1,3,11.78756
-3,4,11.790261
-1,1,11.790873
-1,4,11.793005
-1,1,11.793606
-3,11,11.79934
-1,10,11.803806
-3,8,11.807446
-1,1,11.807957
-2,14,11.814624
-1,3,11.816071
-1,3,11.81745
1,7,11.82082
-2,14,11.827278
