gev_tdlam_before,optimgain,EpRewMean,ev_tdlam_before,GEpLenMean,Iteration,GEpRewMean,gmeankl,surrgain,entloss,gsurrgain,entropy,gentloss,EpLenMean,trial,TimeElapsed,meankl,gentropy,goptimgain
-0.0016728639602661133,0.040234447,-2.05,-0.08712255954742432,6.9,1,-2.05,0.0060721086,0.040234447,0.0,0.03354369,1.6040142,0.0,7.8,0,1.919489860534668,0.005670252,1.6035107,0.03354369
-0.13728654384613037,0.037776753,-2.0,-0.31310999393463135,8.05,2,-2.0,0.010033899,0.037776753,0.0,0.037607446,1.5995238,0.0,8.375,0,3.313480854034424,0.010549296,1.5996894,0.037607446
0.0753629207611084,0.03873739,-1.675,-0.15588271617889404,6.3,3,-1.675,0.01384761,0.03873739,0.0,0.039335422,1.5974112,0.0,6.725,0,4.780284881591797,0.012826503,1.5962403,0.039335422
-0.6433711051940918,0.036608294,-1.45,-0.10886955261230469,5.625,4,-1.45,0.0145286005,0.036608294,0.0,0.042267837,1.5958279,0.0,6.625,0,6.291985034942627,0.014601768,1.5954533,0.042267837
-0.24083805084228516,0.029731166,-1.575,-0.3948845863342285,6.55,5,-1.575,0.0150687285,0.029731166,0.0,0.037329502,1.5956829,0.0,6.45,0,7.907490968704224,0.0147722745,1.5949794,0.037329502
-0.27801764011383057,0.040623702,-1.85,-0.2306361198425293,7.55,6,-1.85,0.016351243,0.040623702,0.0,0.02814285,1.5954161,0.0,5.925,0,9.546977043151855,0.015068334,1.5936587,0.02814285
-0.263954758644104,0.042683497,-1.5,-0.17537200450897217,6.175,7,-1.5,0.015275465,0.042683497,0.0,0.029018423,1.5955993,0.0,5.075,0,11.133424043655396,0.014840187,1.5948141,0.029018423
-0.3188716173171997,0.033662528,-1.7,-0.07642102241516113,6.25,8,-1.7,0.014832837,0.033662528,0.0,0.041785378,1.5950303,0.0,4.425,0,12.70485806465149,0.015524767,1.5951567,0.041785378
-0.03279685974121094,0.042139784,-1.4,0.03888291120529175,7.0,9,-1.4,0.012843354,0.042139784,0.0,0.038513508,1.5950197,0.0,5.35,0,14.255908966064453,0.015521902,1.5970726,0.038513508
-0.054895758628845215,0.03806801,-1.55,-0.14563655853271484,8.5,10,-1.55,0.014616005,0.03806801,0.0,0.03563617,1.5951023,0.0,5.875,0,15.854159116744995,0.015421027,1.5954591,0.03563617
-0.26039791107177734,0.038432136,-1.575,-0.046053171157836914,5.175,11,-1.575,0.0149695,0.038432136,0.0,0.04239786,1.5951092,0.0,6.775,0,17.44672393798828,0.015432427,1.5950196,0.04239786
-0.06314575672149658,0.042399988,-1.625,0.00919961929321289,7.875,12,-1.625,0.012563577,0.042399988,0.0,0.046858147,1.5952421,0.0,9.475,0,19.005504846572876,0.015273415,1.5973927,0.046858147
-0.31999802589416504,0.049308702,-1.55,-0.05939459800720215,5.575,13,-1.55,0.01494385,0.049308702,0.0,0.04793293,1.5950822,0.0,5.475,0,20.596629858016968,0.015478056,1.5951549,0.04793293
-0.1687253713607788,0.037452668,-1.625,-0.057530879974365234,6.325,14,-1.625,0.014996221,0.037452668,0.0,0.035576973,1.5952915,0.0,7.45,0,22.230638027191162,0.015182277,1.5951705,0.035576973
-0.11290526390075684,0.03653384,-1.75,-0.14310753345489502,6.1,15,-1.75,0.016137877,0.03653384,0.0,0.03919029,1.5950928,0.0,5.725,0,23.911375999450684,0.01544155,1.594109,0.03919029
-0.3793141841888428,0.046549946,-1.65,-0.08815371990203857,5.475,16,-1.65,0.014646267,0.046549946,0.0,0.046885073,1.5950744,0.0,6.4,0,25.488871812820435,0.015479919,1.5954845,0.046885073
-0.012789487838745117,0.039222468,-1.9,-0.10967302322387695,6.775,17,-1.9,0.015996858,0.039222468,0.0,0.041844625,1.5954262,0.0,8.0,0,27.130555152893066,0.015067342,1.5941391,0.041844625
-0.2073686122894287,0.038895935,-1.325,-0.008141279220581055,8.075,18,-1.325,0.016510284,0.038895935,0.0,0.038064994,1.5951762,0.0,5.575,0,28.77604079246521,0.015314396,1.5936434,0.038064994
-0.05583786964416504,0.029475812,-1.55,-0.06709897518157959,7.8,19,-1.55,0.015108148,0.029475812,0.0,0.04839484,1.5951576,0.0,5.975,0,30.561584949493408,0.015360123,1.5949073,0.04839484
-0.2410578727722168,0.03039056,-1.525,-0.19468367099761963,6.1,20,-1.525,0.015072186,0.03039056,0.0,0.031073704,1.5952437,0.0,8.05,0,32.356579065322876,0.015241467,1.5950162,0.031073704
-0.1401510238647461,0.04154195,-1.75,-0.015542864799499512,5.8,21,-1.75,0.016602213,0.04154195,0.0,0.035898685,1.5950543,0.0,8.75,0,34.12437176704407,0.0155107435,1.5935856,0.035898685
-0.04616248607635498,0.030307345,-1.725,0.06680256128311157,5.9,22,-1.725,0.016068323,0.030307345,0.0,0.04890649,1.5952795,0.0,9.475,0,35.82360911369324,0.01523097,1.5941236,0.04890649
-0.13875818252563477,0.030283138,-1.45,-0.1189495325088501,7.375,23,-1.45,0.016920734,0.030283138,0.0,0.0405698,1.595047,0.0,4.75,0,37.47994589805603,0.015499965,1.5932002,0.0405698
-0.10880792140960693,0.037948363,-1.475,0.03276336193084717,5.35,24,-1.475,0.014585964,0.037948363,0.0,0.044121686,1.5952227,0.0,7.6,0,39.05517888069153,0.015302923,1.5955652,0.044121686
-0.1667097806930542,0.030226463,-1.5,-0.1199411153793335,7.275,25,-1.5,0.017123356,0.030226463,0.0,0.04503666,1.5952355,0.0,6.525,0,40.6925208568573,0.015267315,1.5930392,0.04503666
-0.21528923511505127,0.042287104,-1.9,-0.15265917778015137,7.3,26,-1.9,0.018276982,0.042287104,0.0,0.031516403,1.5952132,0.0,7.375,0,42.331772804260254,0.015323162,1.5920999,0.031516403
-0.010125041007995605,0.0400957,-1.525,-0.01975083351135254,7.1,27,-1.525,0.01617426,0.0400957,0.0,0.046290167,1.5948248,0.0,6.725,0,43.96486282348633,0.015747558,1.5940136,0.046290167
-0.3130824565887451,0.03714706,-1.875,-0.17046761512756348,7.075,28,-1.875,0.017721327,0.03714706,0.0,0.037450537,1.5952644,0.0,8.925,0,45.597127199172974,0.015285606,1.5926381,0.037450537
-0.18980872631072998,0.034498833,-2.1,0.06747061014175415,6.6,29,-2.1,0.017091557,0.034498833,0.0,0.040172823,1.594989,0.0,7.775,0,47.2144079208374,0.015568641,1.5931839,0.040172823
-0.1357741355895996,0.033486724,-1.525,-0.15169000625610352,8.025,30,-1.525,0.014901619,0.033486724,0.0,0.04505115,1.5954626,0.0,7.2,0,48.786880016326904,0.01501119,1.5952526,0.04505115
