#{"t_start": 1523008762.28001, "env_id": "RockSample"}
r,l,t
-1,1,2.304536
-1,1,2.305424
-2,14,2.312914
-1,1,2.313536
0,3,2.315565
-1,2,2.316711
-1,6,2.319518
-1,2,2.320782
-2,3,2.322313
-1,3,2.323723
-1,1,2.324244
-1,2,2.325206
-1,2,2.326163
-3,4,2.328183
-3,11,2.333196
-1,4,2.33505
-5,20,2.344728
-2,7,2.348043
0,8,2.351844
-3,15,2.359315
-2,6,2.362548
-1,1,2.363119
-4,12,2.368816
-4,14,2.375704
-1,1,2.376351
-1,1,2.376894
0,9,2.381821
-4,25,2.39332
-3,5,2.395949
-5,23,2.40863
-1,1,2.409197
-1,2,2.410217
1,19,2.426825
-1,10,2.432647
-1,1,2.43329
-2,12,2.439309
-2,4,2.441593
-1,1,2.442528
-2,16,2.450004
-1,6,2.452779
-5,15,2.459902
-1,1,2.46138
-2,6,2.46459
-1,19,2.473232
-1,6,2.476084
-1,7,2.479621
-3,14,2.486438
-1,1,2.486999
-2,7,2.490338
-5,16,2.498007
-1,1,2.498575
-1,2,2.499542
-2,6,2.502291
-6,14,2.508894
-2,4,2.510884
-1,9,2.518062
-2,5,2.520464
-3,9,2.524613
-1,1,2.52515
-2,2,2.526152
-1,5,2.530416
0,14,2.537203
-7,30,2.55242
-1,4,2.55436
-3,10,2.559006
-2,4,2.56119
0,8,2.56514
-2,6,2.567998
-1,1,2.568547
-2,6,2.571404
-5,8,2.575323
-1,2,2.576336
-1,1,2.576868
-1,6,2.579646
-1,1,2.580183
-2,3,2.581724
-8,17,2.58966
0,13,2.595657
-1,1,2.596203
2,9,2.600826
-4,13,2.606847
-2,12,2.612368
-2,4,2.614309
-1,7,2.617786
-5,37,2.655349
-10,25,2.692216
-3,3,2.694317
-1,7,2.729276
-1,7,2.733167
-2,5,2.735701
-1,12,2.742303
-1,6,2.74784
-1,1,2.748923
-4,10,2.756367
-2,2,2.75755
-1,1,2.758189
-2,4,2.761084
-1,4,2.763511
-3,21,2.773949
-5,13,2.782046
0,14,2.789143
0,22,2.799386
-1,10,2.804125
-1,4,2.806003
-4,7,2.809274
-1,1,2.8098
-1,2,2.810787
-1,1,2.811323
-3,5,2.813733
-4,5,2.816681
-1,1,2.817258
-1,1,2.817788
-1,3,2.81919
-2,8,2.822991
-1,1,2.823527
-3,16,2.830788
-1,4,2.832774
-3,9,2.836903
-6,18,2.845575
-1,2,2.847058
-3,5,2.849862
-2,9,2.855412
-10,51,2.88118
-2,18,2.89294
-1,1,2.893727
-1,2,2.895119
-1,1,2.89575
-3,7,2.899532
-1,3,2.901305
-1,1,2.901936
-1,18,2.910183
-3,7,2.913477
-1,4,3.258204
-2,5,3.260651
-1,7,3.264413
-2,4,3.266576
-1,2,3.267858
-1,15,3.274714
-1,1,3.275256
-2,14,3.284224
-1,1,3.285075
-1,1,3.285773
-2,6,3.28902
-1,1,3.289566
1,13,3.296566
-2,4,3.298724
-2,4,3.300848
-1,2,3.302464
-2,4,3.30537
-2,6,3.310139
-1,19,3.324729
-5,19,3.336454
-2,6,3.339233
-1,23,3.353927
-1,2,3.356784
-2,20,3.369421
-2,7,3.375273
-1,1,3.376333
-2,4,3.379781
-4,19,3.394145
-2,2,3.396567
-2,7,3.401842
0,6,3.406635
-1,1,3.408122
-1,1,3.408759
-1,1,3.409287
-3,6,3.41325
0,24,3.429751
-2,6,3.433692
0,5,3.436764
1,14,3.447787
-3,11,3.454941
-4,7,3.458527
-1,2,3.460179
-1,3,3.463799
-1,2,3.464793
-1,1,3.465376
-3,13,3.47165
-1,4,3.473624
-1,3,3.475048
-1,3,3.476435
-1,17,3.485916
-3,9,3.490751
-3,14,3.49792
-2,11,3.503542
-1,6,3.507047
0,13,3.51761
-2,9,3.521922
-1,1,3.522465
-1,1,3.522988
-1,1,3.523502
-1,3,3.52489
-3,4,3.5268
-2,11,3.532314
-2,14,3.538773
2,8,3.542413
-3,7,3.545644
-1,14,3.552853
-1,1,3.553404
-4,10,3.558269
-2,3,3.560308
-3,7,3.565094
-2,8,3.569588
-1,1,3.570212
-2,11,3.575684
-1,1,3.57623
-2,7,3.579407
-1,2,3.580382
-1,2,3.581724
-1,4,3.583814
-3,8,3.587506
-1,17,3.595227
-10,36,3.611554
-3,9,3.615696
-1,2,3.616661
-1,1,3.617176
-1,3,3.618588
-2,6,3.621374
-3,3,3.623034
-2,5,3.625389
-1,2,3.626347
-1,1,3.626866
-2,2,3.627877
-5,31,3.648889
-2,5,3.651886
-1,1,3.652439
-4,6,3.655283
-1,1,3.655812
0,11,3.660771
-3,7,3.664199
-1,4,3.66605
-1,1,3.666574
-1,3,3.668903
-2,4,3.670926
-1,1,3.671455
-1,3,3.672833
-1,15,3.679912
-1,5,3.682376
-4,29,3.69584
-1,2,3.696846
-2,4,3.698719
-1,1,3.699236
-1,2,3.700245
-1,5,3.702631
0,9,3.706752
-2,4,3.708636
-2,4,3.710494
0,5,3.7128
0,20,3.722069
