entropy,entloss,Iteration,surrgain,optimgain,EpRewMean,EpLenMean,EpisodesSoFar,trial,TimestepsSoFar,meankl,EpThisIter,TimeElapsed,ev_tdlam_before
1.6039109,0.0,1,0.03877569,0.03877569,-2.1,7.825,132,0,1024,0.0056463256,132,1.0635709762573242,-0.04050242900848389
1.5928044,0.0,2,0.03517259,0.03517259,-1.8,8.125,272,0,2047,0.004707939,140,1.7661468982696533,-0.25624918937683105
1.5802137,0.0,3,0.04245495,0.04245495,-1.875,10.025,403,0,3059,0.0043578544,131,2.430276870727539,-0.25538718700408936
1.5615774,0.0,4,0.041485813,0.041485813,-1.625,7.875,535,0,4094,0.004325834,132,3.2153680324554443,-0.05238139629364014
1.5420923,0.0,5,0.03958884,0.03958884,-1.45,6.425,706,0,5116,0.0038840813,171,3.9510350227355957,-0.2876741886138916
1.5211155,0.0,6,0.045027502,0.045027502,-1.375,6.3,858,0,6140,0.004210399,152,4.668238878250122,-0.02032327651977539
1.4968876,0.0,7,0.043678172,0.043678172,-1.1,3.575,1034,0,7164,0.004259989,176,5.4603071212768555,0.027573823928833008
1.4606786,0.0,8,0.050729647,0.050729647,-0.975,4.35,1209,0,8179,0.004648296,175,6.186647891998291,0.13229525089263916
1.4332918,0.0,9,0.04644031,0.04644031,-0.85,6.325,1375,0,9216,0.0049832407,166,6.940773010253906,0.16476309299468994
1.3903005,0.0,10,0.051880255,0.051880255,-0.625,5.675,1541,0,10234,0.0058156913,166,7.657376050949097,0.13823825120925903
1.3281806,0.0,11,0.058282394,0.058282394,-0.325,6.4,1737,0,11262,0.0067785857,196,8.350152969360352,0.20670795440673828
1.2545,0.0,12,0.059386056,0.059386056,-0.35,6.275,1878,0,12280,0.0065762484,141,9.094319820404053,0.08338826894760132
1.1833835,0.0,13,0.056856498,0.056856498,-0.125,6.075,2036,0,13307,0.0060143736,158,9.858304023742676,0.08801543712615967
1.1112016,0.0,14,0.050590564,0.050590564,0.325,6.9,2175,0,14334,0.00597856,139,10.991059064865112,0.03513079881668091
1.037864,0.0,15,0.048174072,0.048174072,0.525,7.625,2313,0,15346,0.005308172,138,11.831377029418945,-0.07100987434387207
0.97638416,0.0,16,0.04782424,0.04782424,0.575,7.525,2453,0,16377,0.0047959574,140,12.580799102783203,-0.020264506340026855
0.8774003,0.0,17,0.04956513,0.04956513,0.725,7.025,2599,0,17407,0.005417502,146,13.313583850860596,-0.03275632858276367
0.80431414,0.0,18,0.046504654,0.046504654,0.875,6.6,2751,0,18430,0.004636132,152,14.020617961883545,-0.16453206539154053
0.7342318,0.0,19,0.049112797,0.049112797,0.8,6.525,2910,0,19450,0.004618208,159,14.695899963378906,-0.06141042709350586
0.67178404,0.0,20,0.049715526,0.049715526,0.7,6.65,3068,0,20476,0.004363589,158,15.43559193611145,0.01149684190750122
0.61704856,0.0,21,0.050535865,0.050535865,1.05,6.775,3231,0,21503,0.0037123961,163,16.177917957305908,-0.306099534034729
0.57776403,0.0,22,0.038533427,0.038533427,0.875,6.025,3399,0,22519,0.0035446514,168,16.98292899131775,-0.07104039192199707
0.54402256,0.0,23,0.05933557,0.05933557,0.975,5.775,3571,0,23550,0.003568264,172,17.723335027694702,-0.4086247682571411
0.5264717,0.0,24,0.042503636,0.042503636,1.0,5.975,3747,0,24574,0.002982841,176,18.427183866500854,-0.4147747755050659
0.5298643,0.0,25,0.056748766,0.056748766,1.0,5.8,3918,0,25596,0.0024267621,171,19.15881896018982,-0.3892761468887329
0.5156121,0.0,26,0.06306495,0.06306495,1.0,5.95,4087,0,26623,0.0031410533,169,19.818082809448242,-0.24782347679138184
0.516043,0.0,27,0.060974553,0.060974553,1.025,5.55,4260,0,27645,0.003197058,173,20.460579872131348,-0.16886353492736816
0.48328477,0.0,28,0.04744897,0.04744897,0.95,5.575,4437,0,28672,0.003941663,177,21.110745906829834,-0.04140198230743408
0.45973006,0.0,29,0.06565986,0.06565986,1.05,5.7,4613,0,29691,0.0037940315,176,21.805601835250854,-0.10283482074737549
0.452692,0.0,30,0.05183643,0.05183643,1.025,6.0,4792,0,30718,0.0034054413,179,22.4576358795166,-0.1743408441543579
0.45331496,0.0,31,0.15587184,0.15587184,1.025,6.225,4968,0,31743,0.0033043122,176,23.130822896957397,-0.12360143661499023
0.46790612,0.0,32,0.04390515,0.04390515,1.05,5.525,5145,0,32766,0.0038626366,177,23.782018899917603,-0.12346506118774414
0.464216,0.0,33,0.07985057,0.07985057,1.0,5.775,5318,0,33788,0.0049355086,173,24.437484741210938,-0.10142135620117188
0.44190148,0.0,34,0.06716962,0.06716962,1.075,5.775,5493,0,34811,0.004255687,175,25.086753129959106,-0.024586796760559082
0.45365527,0.0,35,0.07512393,0.07512393,1.0,5.7,5672,0,35835,0.0058981325,179,25.75908398628235,-0.051604628562927246
0.4419147,0.0,36,0.094095714,0.094095714,1.075,6.0,5848,0,36859,0.0057506924,176,26.410783052444458,-0.01612067222595215
0.45799518,0.0,37,0.07612769,0.07612769,1.175,5.9,6024,0,37881,0.0071875877,176,27.078788995742798,-0.009830474853515625
0.45381033,0.0,38,0.054946564,0.054946564,1.25,5.95,6196,0,38912,0.0059770783,172,27.74380087852478,0.01749420166015625
