fps,EpLenMean,clipfrac,loss_ent,time_elapsed,trial,Iteration,approxkl,explained_variance,policy_loss,Name,EpRewMean,serial_timesteps,value_loss,total_timesteps,nupdates
674,512.6,0.078466795,2.4024277,107.3961009979248,0,33,0.0063484483,0.5879020988941193,-0.0029425272,PP02-llm,15.184378240000001,67584,0.008698678,67584,33
538,529.78,0.0993164,2.3452125,111.19706082344055,0,34,0.008346295,0.6085513830184937,-0.0058751046,PP02-llm,15.285959590000003,69632,0.00893824,69632,34
606,546.68,0.07011719,2.313208,114.57642602920532,0,35,0.0056369333,0.9601653404533863,-0.0055555655,PP02-llm,15.264710080000002,71680,0.0005681309,71680,35
659,564.0,0.08666992,2.3023891,117.68179845809937,0,36,0.0068915673,0.9414364658296108,-0.0027401587,PP02-llm,15.089730610000002,73728,0.0011501173,73728,36
678,580.58,0.0659668,2.2779682,120.7018837928772,0,37,0.005695108,0.9001208171248436,-0.0048212847,PP02-llm,15.709270870000001,75776,0.001281108,75776,37
554,598.34,0.05883789,2.253374,124.39461040496826,0,38,0.005274764,0.949427418410778,-0.0033694475,PP02-llm,15.821154600000002,77824,0.0006437701,77824,38
512,611.52,0.055517577,2.2255657,128.39343857765198,0,39,0.005234061,0.6101665496826172,-0.002032417,PP02-llm,17.01022544,79872,0.0067247585,79872,39
431,628.47,0.09101562,2.1820934,133.14142751693726,0,40,0.007522843,0.859747514128685,-0.00865397,PP02-llm,15.786389289999999,81920,0.0008163968,81920,40
421,645.35,0.060546875,2.1518126,137.99491024017334,0,41,0.0054585407,0.9385379068553448,-0.0049350453,PP02-llm,16.33104426,83968,0.0006363309,83968,41
607,666.78,0.07866211,2.12258,141.36500310897827,0,42,0.006501302,0.6027637720108032,-0.0031224187,PP02-llm,17.84661327,86016,0.014910986,86016,42
486,678.74,0.06459961,2.07766,145.57763671875,0,43,0.0056983884,0.48476696014404297,-0.0052101007,PP02-llm,18.50001022,88064,0.0057942253,88064,43
463,704.18,0.07099609,2.0274851,149.99312734603882,0,44,0.006260322,0.682273656129837,-0.0006655446,PP02-llm,20.7584607,90112,0.009522678,90112,44
454,712.72,0.08041992,1.9795061,154.50354051589966,0,45,0.0070352564,0.6383230090141296,-0.0034992725,PP02-llm,22.24297212,92160,0.0053852326,92160,45
499,730.07,0.079638675,1.9453895,158.60796403884888,0,46,0.006531739,0.9271686971187592,-0.0063182847,PP02-llm,22.353737599999995,94208,0.00066461775,94208,46
695,746.55,0.07509766,1.921798,161.55138611793518,0,47,0.0061100493,0.9472172074019909,-0.0050791535,PP02-llm,22.68814622,96256,0.0006404052,96256,47
402,762.69,0.064453125,1.9052832,166.6451416015625,0,48,0.005453209,0.8987983986735344,-0.0017558902,PP02-llm,22.24356591,98304,0.0007131814,98304,48
576,777.36,0.0959961,1.8986683,170.20259857177734,0,49,0.007728588,0.7106679975986481,-0.003274905,PP02-llm,22.67417559,100352,0.008571667,100352,49
469,794.67,0.08276367,1.8896221,174.56673526763916,0,50,0.0065231053,0.845449298620224,-0.0046556303,PP02-llm,23.646625049999997,102400,0.0009807826,102400,50
513,812.42,0.080761716,1.8713907,178.55521202087402,0,51,0.006211129,0.8981958404183388,-0.0049707117,PP02-llm,23.606785069999997,104448,0.0006176027,104448,51
411,824.85,0.072509766,1.8621969,183.53098011016846,0,52,0.006032579,0.6537990272045135,-0.0029048945,PP02-llm,26.011909850000002,106496,0.0058229705,106496,52
613,841.4,0.075927734,1.8428345,186.87033462524414,0,53,0.0064775012,0.9247927069664001,-0.0026676226,PP02-llm,27.538656689999996,108544,0.0006354243,108544,53
