gentropy,surrgain,TimeElapsed,EpLenMean,entloss,trial,gmeankl,gsurrgain,gentloss,entropy,gev_tdlam_before,EpRewMean,optimgain,ev_tdlam_before,meankl,GEpLenMean,GEpRewMean,goptimgain,Iteration
1.4231058,0.012705911,1.8093690872192383,200.0,0.0,0,0.008526621,0.010833919,0.0,1.4464196,0.0012127161026000977,-1270.7447789025225,0.012705911,0.0030562281608581543,0.008445717,200.0,-1270.7447789025225,0.010833919,1
1.4306742,0.01322542,2.9601998329162598,197.6,0.0,0,0.011182932,0.007404453,0.0,1.4715246,0.04534554481506348,-1183.1712249226878,0.01322542,0.058387577533721924,0.014574716,200.0,-1183.1712249226878,0.007404453,2
1.4388402,0.007542455,4.083758115768433,196.8,0.0,0,0.011492035,0.0043823654,0.0,1.4657799,0.052529990673065186,-1212.2748260320716,0.007542455,0.0717393159866333,0.014462781,198.4,-1212.2748260320716,0.0043823654,3
1.4380574,0.0041336706,5.207659959793091,196.4,0.0,0,0.014803427,0.0067071794,0.0,1.4657061,0.12328857183456421,-1213.66211596048,0.0041336706,0.08459782600402832,0.01541132,197.6,-1213.66211596048,0.0067071794,4
nan,0.0055738334,6.314913034439087,196.30769230769232,0.0,0,nan,nan,nan,1.4465736,0.02320784330368042,-1206.027411669833,0.0055738334,0.03375738859176636,0.013513841,197.12,-1206.027411669833,nan,5
nan,0.005251715,7.4160308837890625,196.1290322580645,0.0,0,nan,nan,nan,1.4086696,0.0018135309219360352,-1188.0568449188308,0.005251715,0.0037723779678344727,0.01336177,203.46666666666667,-1188.0568449188308,nan,6
1.4042141,0.002570767,8.500520944595337,196.0,0.0,0,0.0045327283,0.00025430415,0.0,1.4177657,0.0002225041389465332,-1187.2807965394009,0.002570767,0.002258121967315674,0.008105956,202.28571428571428,-1187.2807965394009,0.00025430415,7
1.4014369,nan,9.607396125793457,195.8,nan,0,0.008928461,0.007925849,0.0,nan,0.00022149085998535156,-1179.7129650106185,nan,0.0015995502471923828,nan,201.4,-1179.7129650106185,0.007925849,8
1.4068304,0.0060971696,10.72323203086853,195.8,0.0,0,0.010215599,0.0042823097,0.0,1.4089457,0.00030159950256347656,-1161.4748496251336,0.0060971696,0.0006043314933776855,0.005028044,200.8,-1161.4748496251336,0.0042823097,9
1.4100641,0.0068478463,11.9340500831604,195.8,0.0,0,0.007320715,0.0049492903,0.0,1.3839109,0.0005263686180114746,-1176.0062774815972,0.0068478463,0.00043135881423950195,0.006001623,205.2,-1176.0062774815972,0.0049492903,10
1.403262,0.005127471,13.262374877929688,195.8,0.0,0,0.013988421,0.007220905,0.0,1.3868711,0.00031185150146484375,-1162.413175280087,0.005127471,0.000661313533782959,0.007590098,205.2,-1162.413175280087,0.007220905,11
1.376526,0.008271012,14.454916954040527,195.8,0.0,0,0.0073803645,0.003414385,0.0,1.3474334,0.00019377470016479492,-1146.8043146704445,0.008271012,0.0005615949630737305,0.011390507,205.2,-1146.8043146704445,0.003414385,12
1.3710523,0.006860115,15.6264488697052,195.8,0.0,0,0.012874891,0.0042568515,0.0,1.3398962,0.0003820061683654785,-1148.3863847501666,0.006860115,0.00040781497955322266,0.012132362,205.2,-1148.3863847501666,0.0042568515,13
1.3551551,0.006337747,16.767564058303833,195.8,0.0,0,0.008196127,0.0067715542,0.0,1.3497514,0.00011646747589111328,-1157.9608690902612,0.006337747,0.0003108382225036621,0.008766031,205.2,-1157.9608690902612,0.0067715542,14
1.345132,0.003610173,17.889153957366943,195.8,0.0,0,0.0113670165,0.008490946,0.0,1.3524084,0.00011855363845825195,-1192.9906283845116,0.003610173,0.00027042627334594727,0.007827764,205.2,-1192.9906283845116,0.008490946,15
1.3376577,0.012456199,18.953574895858765,195.8,0.0,0,0.014408334,0.012326349,0.0,1.3567699,0.00014466047286987305,-1210.007590418853,0.012456199,0.00022226572036743164,0.010673491,205.2,-1210.007590418853,0.012326349,16
1.3627013,0.006112471,20.011785984039307,195.8,0.0,0,0.010398364,0.004123617,0.0,1.3747561,0.00017178058624267578,-1247.9807826795497,0.006112471,0.0002595186233520508,0.00804971,205.2,-1247.9807826795497,0.004123617,17
1.3451757,0.0075947233,21.0942440032959,200.8,0.0,0,0.010246452,0.010296248,0.0,1.3665857,0.00016629695892333984,-1283.8363131508777,0.0075947233,0.00012201070785522461,0.008863366,200.8,-1283.8363131508777,0.010296248,18
1.3547468,0.010453608,22.163017988204956,200.8,0.0,0,0.011003994,0.004826431,0.0,1.3734764,0.00013881921768188477,-1296.7360067960703,0.010453608,0.0001754164695739746,0.011975697,200.8,-1296.7360067960703,0.004826431,19
1.3353299,0.010515533,23.245373964309692,200.8,0.0,0,0.012985298,0.0036941632,0.0,1.3595971,8.14199447631836e-05,-1285.385374154808,0.010515533,0.00018107891082763672,0.012078721,200.8,-1285.385374154808,0.0036941632,20
1.335327,0.008699337,24.364633083343506,200.2,0.0,0,0.011270129,0.003311702,0.0,1.3596282,9.036064147949219e-05,-1284.7198798932855,0.008699337,0.00014382600784301758,0.010776082,195.8,-1284.7198798932855,0.003311702,21
1.3254678,0.019869408,25.447969913482666,205.2,0.0,0,0.012576765,0.0068614352,0.0,1.3596495,8.183717727661133e-05,-1288.8188959947388,0.019869408,0.00016039609909057617,0.015556754,195.8,-1288.8188959947388,0.0068614352,22
1.3541039,0.009152811,26.542415142059326,205.2,0.0,0,0.0110615995,0.00800026,0.0,1.3510833,6.699562072753906e-05,-1289.797443263678,0.009152811,7.355213165283203e-05,0.012548508,195.8,-1289.797443263678,0.00800026,23
1.3588564,0.002668033,27.73771595954895,205.2,0.0,0,0.013597654,0.0044562984,0.0,1.3611457,7.444620132446289e-05,-1291.9161821192938,0.002668033,7.18832015991211e-05,0.010379648,195.8,-1291.9161821192938,0.0044562984,24
1.3805236,0.009165607,28.83215594291687,205.2,0.0,0,0.00814003,0.0064438535,0.0,1.3688943,5.412101745605469e-05,-1292.2008547618696,0.009165607,9.608268737792969e-05,0.012183373,195.8,-1292.2008547618696,0.0064438535,25
1.3885295,0.020008037,29.96923589706421,205.2,0.0,0,0.014531495,0.0064173695,0.0,1.3695458,8.052587509155273e-05,-1259.3058726724812,0.020008037,0.00010061264038085938,0.014328831,195.8,-1259.3058726724812,0.0064173695,26
1.388489,0.013016855,31.08965301513672,205.2,0.0,0,0.018399183,0.015345596,0.0,1.3777264,8.183717727661133e-05,-1238.5154369583367,0.013016855,6.711483001708984e-05,0.009787094,195.8,-1238.5154369583367,0.015345596,27
1.3912767,0.012578504,32.22941303253174,205.2,0.0,0,0.0149343815,0.00247022,0.0,1.3603517,5.8650970458984375e-05,-1239.2276849640593,0.012578504,6.628036499023438e-05,0.013265291,195.8,-1239.2276849640593,0.00247022,28
1.3913047,0.0035359724,33.39186716079712,205.2,0.0,0,0.015103163,0.009825653,0.0,1.3581039,6.157159805297852e-05,-1247.3315003210166,0.0035359724,2.2172927856445312e-05,0.010416742,195.8,-1247.3315003210166,0.009825653,29
1.3805209,0.006963372,34.54206991195679,200.8,0.0,0,0.01049654,0.011208498,0.0,1.358062,3.337860107421875e-05,-1219.7160931155345,0.006963372,5.650520324707031e-05,0.015324483,195.8,-1219.7160931155345,0.011208498,30
1.3805846,0.0037291176,35.655943870544434,200.8,0.0,0,0.01683662,0.0045076692,0.0,1.3580734,2.6941299438476562e-05,-1180.5841888289947,0.0037291176,5.328655242919922e-05,0.018526562,200.8,-1180.5841888289947,0.0045076692,31
1.380534,0.011837611,36.89281988143921,200.8,0.0,0,0.020661518,0.015318485,0.0,1.3581759,5.245208740234375e-05,-1159.2656348412488,0.011837611,4.112720489501953e-05,0.017057888,200.8,-1159.2656348412488,0.015318485,32
1.3805264,0.009251438,38.472524881362915,195.8,0.0,0,0.022033393,0.0034881267,0.0,1.3596525,5.066394805908203e-05,-1127.8628231116047,0.009251438,2.3484230041503906e-05,0.011946142,200.8,-1127.8628231116047,0.0034881267,33
1.3899127,0.01688774,39.83418393135071,195.8,0.0,0,0.01374663,0.018280452,0.0,1.3583269,2.491474151611328e-05,-1135.2556383524084,0.01688774,3.141164779663086e-05,0.0147301685,200.2,-1135.2556383524084,0.018280452,34
1.3899509,0.00484231,41.02148985862732,195.8,0.0,0,0.030173115,0.019015767,0.0,1.3642889,3.0040740966796875e-05,-1149.9412247103035,0.00484231,2.7179718017578125e-05,0.0132065015,205.2,-1149.9412247103035,0.019015767,35
1.3899432,0.015049942,42.28537106513977,195.8,0.0,0,0.032587837,0.043346334,0.0,1.36436,4.13060188293457e-05,-1122.6198049554114,0.015049942,3.1888484954833984e-05,0.023385648,205.2,-1122.6198049554114,0.043346334,36
1.3898919,0.009446448,43.6481237411499,195.8,0.0,0,0.016250458,0.016860649,0.0,1.3617144,2.2411346435546875e-05,-1135.7655441540294,0.009446448,2.1159648895263672e-05,0.010923497,205.2,-1135.7655441540294,0.016860649,37
nan,0.010105562,45.07092499732971,195.8,0.0,0,nan,nan,nan,1.3683558,3.123283386230469e-05,-1159.286308379577,0.010105562,2.950429916381836e-05,0.0149382185,205.2,-1159.286308379577,nan,38
nan,nan,46.42734408378601,195.8,nan,0,nan,nan,nan,nan,2.568960189819336e-05,-1200.1872509377445,nan,2.294778823852539e-05,nan,205.2,-1200.1872509377445,nan,39
1.3898017,0.014451242,47.76183795928955,195.8,0.0,0,0.037617758,0.010896593,0.0,1.368875,2.6047229766845703e-05,-1218.296678856442,0.014451242,2.2113323211669922e-05,0.014545919,205.2,-1218.296678856442,0.010896593,40
nan,0.0075570983,49.08947801589966,195.8,0.0,0,nan,nan,nan,1.3919672,2.014636993408203e-05,-1238.1077874641342,0.0075570983,2.2292137145996094e-05,0.009853544,205.2,-1238.1077874641342,nan,41
1.3899509,0.008681368,50.40892195701599,195.8,0.0,0,0.04099548,0.01653931,0.0,1.3919976,2.4497509002685547e-05,-1196.4319898402932,0.008681368,1.430511474609375e-05,0.023358569,205.2,-1196.4319898402932,0.01653931,42
1.3900229,0.0061933557,51.68094301223755,200.8,0.0,0,0.031732008,0.038895324,0.0,1.4061056,2.2292137145996094e-05,-1223.7669543195948,0.0061933557,9.357929229736328e-06,0.007905499,200.8,-1223.7669543195948,0.038895324,43
